id,paragraph_1,kg_1,paragraph_2,kg_2
20,the man sat in his chair and stared .,"[[""man"", ""sat_in"", ""chair""], [""man"", ""performed_action"", ""stared""]]",the little girl is putting her hair into a pony tail .,"[[""little_girl"", ""performing_action"", ""putting_her_hair""], [""little_girl"", ""putting_hair_into"", ""pony_tail""], [""pony_tail"", ""is_style_of"", ""hair""]]"
21,"the technology-laced nasdaq composite index .ixic rose 39.39 points , or 2.2 percent , to 1,826.33 , after losing more than 2 percent on tuesday .","[[""Nasdaq_Composite_Index"", ""rose"", ""39.39_points""], [""Nasdaq_Composite_Index"", ""increased_by_percentage"", ""2.2_percent""], [""Nasdaq_Composite_Index"", ""reached"", ""1826.33""], [""Nasdaq_Composite_Index"", ""lost"", ""more_than_2_percent""], [""Nasdaq_Composite_Index"", ""lost_on"", ""Tuesday""]]","the blue-chip dow jones industrial average .dji jumped 194.14 points , or 2.09 percent , to 9,469.20 after sinking more than 1 percent a day earlier .","[[""Dow_Jones_Industrial_Average"", ""jumped"", ""194.14_points""], [""Dow_Jones_Industrial_Average"", ""increased_by_percentage"", ""2.09_percent""], [""Dow_Jones_Industrial_Average"", ""reached"", ""9469.20""], [""Dow_Jones_Industrial_Average"", ""sank"", ""more_than_1_percent""], [""Dow_Jones_Industrial_Average"", ""sank_on"", ""a_day_earlier""]]"
22,register formally as a participant,"[[""participant"", ""register_formally_as"", ""entity""]]",register formally as a participant or member .,"[[""participant"", ""register_formally_as"", ""entity""], [""member"", ""register_formally_as"", ""entity""]]"
23,a woman is slicing an onion .,"[[""woman"", ""slicing"", ""onion""]]",a man is cutting and onion .,"[[""man"", ""cutting"", ""onion""]]"
24,"continue to live , exist , or prosper","[[""TEXT_1"", ""contains"", ""phrase""], [""phrase"", ""meaning"", ""continue_to_live""], [""phrase"", ""meaning"", ""exist""], [""phrase"", ""meaning"", ""prosper""]]",continue to live through hardship or adversity .,"[[""TEXT_2"", ""contains"", ""phrase""], [""phrase"", ""meaning"", ""continue_to_live""], [""phrase"", ""meaning"", ""live_through_hardship""], [""phrase"", ""meaning"", ""live_through_adversity""]]"
25,trading in loral was halted yesterday ; the shares closed on monday at $ 3.01 .,"[[""Loral"", ""trading_halted_on"", ""yesterday""], [""Loral"", ""shares_closed_at"", ""$3.01""], [""Loral"", ""shares_closed_on"", ""Monday""]]","the new york stock exchange suspended trading yesterday in loral , which closed at $ 3.01 friday .","[[""New_York_Stock_Exchange"", ""suspended_trading_in"", ""Loral""], [""Loral"", ""trading_suspended_on"", ""yesterday""], [""Loral"", ""shares_closed_at"", ""$3.01""], [""Loral"", ""shares_closed_on"", ""Friday""]]"
26,a man is jumping rope outside .,"[[""man"", ""is_jumping"", ""rope""], [""man"", ""located_outside"", ""outside""], [""rope"", ""is_being_jumped"", ""man""]]",a woman is slicing a cucumber .,[]
27,a man shoots a man .,"[[""man"", ""shoots"", ""man""]]",a man with a pistol shoots another man .,"[[""man_with_pistol"", ""shoots"", ""another_man""], [""man_with_pistol"", ""has"", ""pistol""], [""man_with_pistol"", ""same_as"", ""man""], [""another_man"", ""same_as"", ""man""]]"
28,"in addition , it offered the united states and israel a way to work around mr. arafat .","[[""United_States"", ""offered_way_to_work_around"", ""Mr._Arafat""], [""Israel"", ""offered_way_to_work_around"", ""Mr._Arafat""]]","when the prime minister 's position was established in the spring , it offered the united states and israel a way to work around arafat .","[[""United_States"", ""offered_way_to_work_around"", ""Arafat""], [""Israel"", ""offered_way_to_work_around"", ""Arafat""], [""Prime_Minister"", ""position_established_in"", ""Spring""]]"
29,""" and about eight to 10 seconds down , i hit .","[[""narrator"", ""experienced_event"", ""hitting_something""], [""hitting_something"", ""occurred_after"", ""8_to_10_seconds""], [""narrator"", ""fell_for"", ""8_to_10_seconds""]]",""" i was in the water for about eight seconds .","[[""narrator"", ""experienced_event"", ""being_in_water""], [""being_in_water"", ""lasted_for"", ""8_seconds""], [""narrator"", ""was_in_water_for"", ""8_seconds""]]"
30,cause friction ; wear away or erode,"[[""friction"", ""caused_by"", ""wear_away""], [""friction"", ""caused_by"", ""erode""]]",wear away or erode .,[]
31,a person is frying meat in a pan .,"[[""person"", ""frying"", ""meat""], [""meat"", ""located_in"", ""pan""], [""person"", ""using"", ""pan""]]",a person is holding a skunk .,"[[""person"", ""holding"", ""skunk""]]"
32,a puppy plays with a plastic container .,"[[""puppy"", ""plays_with"", ""plastic_container""]]",the dog is playing with a plastic container .,"[[""dog"", ""plays_with"", ""plastic_container""]]"
33,"their contract will expire at 12 : 01 a.m. wednesday instead of 12 : 01 a.m. sunday , said rian wathen , organizing director for united food and commercial workers local 700 .","[[""Rian_Wathen"", ""said"", ""their_contract_will_expire_at_12_01_a.m._wednesday""], [""their_contract"", ""will_expire_at"", ""12_01_a.m._wednesday""], [""their_contract"", ""will_not_expire_at"", ""12_01_a.m._sunday""], [""Rian_Wathen"", ""organizing_director_of"", ""United_Food_and_Commercial_Workers_Local_700""]]",""" it has outraged the membership , "" said rian wathen , organizing director of united food and commercial workers local 700 .","[[""Rian_Wathen"", ""said"", ""it_has_outraged_the_membership""], [""it"", ""has_outraged"", ""membership""], [""Rian_Wathen"", ""organizing_director_of"", ""United_Food_and_Commercial_Workers_Local_700""]]"
34,"the computers were reportedly located in the u.s. , canada and south korea .","[[""computers"", ""located_in"", ""U.S.""], [""computers"", ""located_in"", ""Canada""], [""computers"", ""located_in"", ""South_Korea""]]","the pcs are scattered across the united states , canada and south korea .","[[""pcs"", ""located_in"", ""United_States""], [""pcs"", ""located_in"", ""Canada""], [""pcs"", ""located_in"", ""South_Korea""]]"
35,the arrests revealed new details about the four-month investigation at selenski 's mount olivet road home .,"[[""arrests"", ""revealed"", ""new_details""], [""new_details"", ""about"", ""investigation""], [""investigation"", ""located_at"", ""Selenski_mount_olivet_road_home""], [""investigation"", ""duration"", ""four_months""]]",kerkowski and fassett 's bodies were unearthed at selenski 's mount olivet road home on june 5 .,"[[""Kerkowski"", ""body_unearthed_at"", ""Selenski_mount_olivet_road_home""], [""Fassett"", ""body_unearthed_at"", ""Selenski_mount_olivet_road_home""], [""Kerkowski"", ""body_unearthed_on"", ""June_5""], [""Fassett"", ""body_unearthed_on"", ""June_5""]]"
36,a badger is digging in the dirt .,"[[""badger"", ""is_digging_in"", ""dirt""]]",a man is moving large rocks .,"[[""man"", ""is_moving"", ""large_rocks""]]"
37,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .","[[""Cashman_Report"", ""can_be_summarised_in"", ""four_words""], [""Cashman_Report"", ""summarised_as"", ""citizens_power_over_bureaucracy""], [""President"", ""received"", ""Cashman_Report""]]","mister the president , the report cashman can summarize itself in some words : the strength of the citizens on the bureaucracy .","[[""Report_Cashman"", ""can_summarize_itself_in"", ""some_words""], [""Report_Cashman"", ""summarised_as"", ""strength_of_citizens_on_bureaucracy""], [""President"", ""received"", ""Report_Cashman""]]"
38,a girl is styling her hair .,"[[""girl"", ""is_styling"", ""her_hair""]]",a girl is brushing her hair .,"[[""girl"", ""is_brushing"", ""her_hair""]]"
39,a man is slicing a potato .,"[[""man"", ""slicing"", ""potato""]]",a woman is cutting a jalepeno .,"[[""woman"", ""cutting"", ""jalepeno""]]"
40,south africa has the world 's highest caseload with 4.7 million people infected with hiv or aids .,"[[""South_Africa"", ""has_caseload"", ""4.7_million_people_infected_with_HIV_or_AIDS""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""HIV""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""AIDS""], [""South_Africa"", ""has"", ""world_highest_caseload""]]","with 4.7 million people infected with hiv or aids , south africa has the world 's highest aids caseload .","[[""South_Africa"", ""has_caseload"", ""4.7_million_people_infected_with_HIV_or_AIDS""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""HIV""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""AIDS""], [""South_Africa"", ""has"", ""world_highest_AIDS_caseload""]]"
41,a man is riding a motorcycle .,"[[""man"", ""riding"", ""motorcycle""]]",a man is riding a horse .,"[[""man"", ""riding"", ""horse""]]"
42,a man is playing a guitar .,"[[""man"", ""playing"", ""guitar""]]",a man is playing a trumpet .,"[[""man"", ""playing"", ""trumpet""]]"
43,a man swims underwater .,"[[""man"", ""swims_in"", ""water""], [""man"", ""location"", ""underwater""]]",a woman is swimming underwater .,"[[""woman"", ""swims_in"", ""water""], [""woman"", ""location"", ""underwater""]]"
44,"performance , routine","[[""performance"", ""type_of"", ""routine""]]",a short theatrical performance that is part of a longer program .,"[[""short_theatrical_performance"", ""part_of"", ""longer_program""]]"
45,tocqueville believed that there are no effective long-term constraints on this tendency .,"[[""Tocqueville"", ""believed"", ""no_effective_long-term_constraints""], [""no_effective_long-term_constraints"", ""on"", ""tendency""]]","tocqueville thought that on the long run , nothing can be really opposed to this tendency .","[[""Tocqueville"", ""thought"", ""nothing_can_be_opposed""], [""nothing_can_be_opposed"", ""to"", ""tendency""], [""nothing_can_be_opposed"", ""in"", ""long_run""]]"
46,"by late afternoon , the dow jones industrial average was up 12.81 , or 0.1 percent , at 9,331.77 , having gained 201 points monday to its highest level since july 2002 .","[[""Dow_Jones_Industrial_Average"", ""increased_by"", ""12.81""], [""Dow_Jones_Industrial_Average"", ""increased_by_percentage"", ""0.1_percent""], [""Dow_Jones_Industrial_Average"", ""value_at"", ""9331.77""], [""Dow_Jones_Industrial_Average"", ""gained"", ""201_points""], [""Dow_Jones_Industrial_Average"", ""reached_level_since"", ""July_2002""], [""Dow_Jones_Industrial_Average"", ""highest_level_since"", ""July_2002""]]","in morning trading , the dow jones industrial average was down 8.76 , or 0.1 percent , at 9,310.20 , having gained 201 points monday .","[[""Dow_Jones_Industrial_Average"", ""decreased_by"", ""8.76""], [""Dow_Jones_Industrial_Average"", ""decreased_by_percentage"", ""0.1_percent""], [""Dow_Jones_Industrial_Average"", ""value_at"", ""9310.20""], [""Dow_Jones_Industrial_Average"", ""gained"", ""201_points""], [""Dow_Jones_Industrial_Average"", ""trading_time"", ""morning""]]"
47,""" they 've been in the stores for over six weeks , "" says carney .","[[""carney"", ""says"", ""they_ve_been_in_stores_for_over_six_weeks""]]","the quarterlies usually stay in stores for between six to eight weeks , "" carney added .","[[""carney"", ""added"", ""quarterlies_usually_stay_in_stores_for_between_six_to_eight_weeks""], [""quarterlies"", ""stay_in"", ""stores""], [""quarterlies"", ""stay_for"", ""between_six_to_eight_weeks""]]"
48,a woman is picking a can .,"[[""woman"", ""picking"", ""can""]]",a woman is slicing a tomato .,"[[""woman"", ""slicing"", ""tomato""]]"
49,a man is jumping into water .,"[[""man"", ""is_jumping_into"", ""water""]]",a man is cutting paper .,"[[""man"", ""is_cutting"", ""paper""]]"
50,"its shares fell 71 cents , or 3.5 percent , in after-hours trading to $ 19.55 .","[[""its"", ""fell"", ""71_cents""], [""its"", ""fell"", ""3.5_percent""], [""its"", ""traded_at"", ""19.55""], [""19.55"", ""price_after"", ""after-hours_trading""]]","the stock had risen 63 cents , or 3 percent , to close at $ 20.26 in regular-session nasdaq trading .","[[""the_stock"", ""rose"", ""63_cents""], [""the_stock"", ""rose"", ""3_percent""], [""the_stock"", ""traded_at"", ""20.26""], [""20.26"", ""price_after"", ""regular-session_nasdaq_trading""]]"
51,some results are remarkable .,"[[""results"", ""are"", ""remarkable""]]",certain results are remarkable .,"[[""results"", ""are"", ""remarkable""]]"
52,there must be a balance as a whole .,[],the unity must be in balance .,[]
53,"putin , too , also seems to suspect his regime 's impotence .","[[""putin"", ""suspects"", ""his_regime_impotence""]]","and , also , of his regime .","[[""his"", ""of"", ""his_regime""]]"
54,the notification was first reported friday by msnbc .,"[[""notification"", ""reported_by"", ""msnbc""], [""notification"", ""reported_on"", ""Friday""]]",msnbc.com first reported the cia request on friday .,"[[""msnbc.com"", ""reported"", ""cia_request""], [""cia_request"", ""reported_on"", ""Friday""]]"
55,some results are remarkable .,[],some results .,[]
56,let me remind you that our allies include fervent supporters of this tax .,"[[""our_allies"", ""include"", ""fervent_supporters""], [""fervent_supporters"", ""support"", ""this_tax""]]","i hold you recall that our allies , there are enthusiastic about this tax .","[[""our_allies"", ""are"", ""enthusiastic""], [""our_allies"", ""enthusiastic_about"", ""this_tax""]]"
57,the elephants are bathing .,"[[""elephants"", ""are_bathing"", ""True""]]",two women are singing .,"[[""women"", ""are_singing"", ""True""]]"
58,a person is petting a monkey .,"[[""person"", ""petting"", ""monkey""]]",a man is holding a slow loris .,"[[""man"", ""holding"", ""slow_loris""]]"
59,a woman is placing food in a pot of hot water .,"[[""woman"", ""placing"", ""food""], [""food"", ""in"", ""pot""], [""pot"", ""contains"", ""hot_water""], [""woman"", ""interacting_with"", ""pot""]]",a woman is frying meat .,"[[""woman"", ""frying"", ""meat""]]"
60,a woman is cutting an onion .,"[[""woman"", ""cutting"", ""onion""]]",a man is cutting onions .,"[[""man"", ""cutting"", ""onions""]]"
61,i am one of those members who attends sittings quite faithfully .,"[[""I"", ""member_of"", ""members""], [""I"", ""attend"", ""sittings""]]",i am one of the members who are rather honourably here .,"[[""I"", ""member_of"", ""members""], [""members"", ""located_at"", ""here""], [""members"", ""characterized_as"", ""honourably""]]"
62,provide with tools or items for a specific purpose,"[[""tools_or_items"", ""used_for"", ""specific_purpose""], [""tools_or_items"", ""provided_for"", ""specific_purpose""]]",provide with ( something ) usually for a specific purpose .,"[[""something"", ""used_for"", ""specific_purpose""], [""something"", ""provided_for"", ""specific_purpose""], [""provide"", ""relation"", ""specific_purpose""]]"
63,a woman is picking a can .,"[[""woman"", ""picking"", ""can""]]",a man is playing a guitar .,"[[""man"", ""playing"", ""guitar""]]"
64,"excluding one-time items , the company enjoyed a profit of 6 cents a share .","[[""company"", ""enjoyed_profit"", ""6_cents_a_share""]]","excluding one-time items , it expects profit of 11 cents to 15 cents a share .","[[""it"", ""expects_profit"", ""11_cents_to_15_cents_a_share""]]"
65,today there are two plausible ways to proceed against a deposed tyrant .,"[[""today"", ""has"", ""two_plausible_ways""], [""two_plausible_ways"", ""used_against"", ""deposed_tyrant""]]",today there are two ways of proceeding to the origins .,"[[""today"", ""has"", ""two_ways""], [""two_ways"", ""used_for"", ""proceeding_to_origins""]]"
66,"the fishermen are inactive , tired and disappointed .","[[""fishermen"", ""are"", ""inactive""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]","the fishers are inactive , tired and disappointed .","[[""fishers"", ""are"", ""inactive""], [""fishers"", ""are"", ""tired""], [""fishers"", ""are"", ""disappointed""]]"
67,""" they were brutally beaten , and it 's really a wonder that porchia is the only deceased in this case . ""","[[""they"", ""were_beaten"", ""brutally""], [""porchia"", ""is"", ""deceased""], [""porchia"", ""is_only_deceased"", ""this_case""]]",""" it 's a wonder that porchia was the only deceased in this case , "" sax added .","[[""it"", ""is"", ""wonder""], [""porchia"", ""was"", ""deceased""], [""porchia"", ""is_only_deceased"", ""this_case""], [""sax"", ""added"", ""statement""]]"
68,a man rides off on a motorcycle .,"[[""man"", ""rides"", ""motorcycle""]]",a man is riding on a motorcycle .,"[[""man"", ""riding_on"", ""motorcycle""]]"
69,a woman is feeding a man .,"[[""woman"", ""feeding"", ""man""]]",a woman is mixing meat .,"[[""woman"", ""mixing"", ""meat""]]"
70,"the fishermen are inactive , tired and disappointed .","[[""fishermen"", ""are"", ""inactive""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]","the fishermen are unemployed , tired and disappointed .","[[""fishermen"", ""are"", ""unemployed""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]"
71,"darren dopp , a spitzer spokesman , declined to comment late thursday .","[[""Darren_Dopp"", ""occupation"", ""spitzer_spokesman""], [""Darren_Dopp"", ""action"", ""declined_to_comment""], [""Darren_Dopp"", ""time_of_action"", ""late_Thursday""]]","john heine , a spokesman for the commission in washington , declined to comment on mr. spitzer 's criticism .","[[""John_Heine"", ""occupation"", ""spokesman_for_commission""], [""John_Heine"", ""location"", ""Washington""], [""John_Heine"", ""action"", ""declined_to_comment""], [""John_Heine"", ""object_of_comment"", ""Mr_Spitzer_criticism""], [""Commission"", ""located_in"", ""Washington""], [""Mr_Spitzer"", ""relation"", ""criticism""]]"
72,a man is slicing a bun .,"[[""man"", ""slicing"", ""bun""]]",a man is slicing an onion .,"[[""man"", ""slicing"", ""onion""]]"
73,a cyclical span of time defined by a calendar system,"[[""cyclical_span_of_time"", ""defined_by"", ""calendar_system""]]",a period of time containing 365 ( or 366 ) days .,"[[""period_of_time"", ""contains"", ""365_days""], [""period_of_time"", ""contains"", ""366_days""], [""period_of_time"", ""duration"", ""365_or_366_days""]]"
74,"be larger in number , quantity , power , status , or importance , without personally having sovereign power .","[[""number"", ""can_be"", ""larger""], [""quantity"", ""can_be"", ""larger""], [""power"", ""can_be"", ""larger""], [""status"", ""can_be"", ""larger""], [""importance"", ""can_be"", ""larger""], [""sovereign_power"", ""not_held_by"", ""entity""]]","be larger in number , quantity , power , status or importance .","[[""number"", ""can_be"", ""larger""], [""quantity"", ""can_be"", ""larger""], [""power"", ""can_be"", ""larger""], [""status"", ""can_be"", ""larger""], [""importance"", ""can_be"", ""larger""]]"
75,act of verbally informing,"[[""act_of_informing"", ""performed_by"", ""verbal_means""], [""act_of_informing"", ""method"", ""verbally_informing""]]",the act of informing by verbal report .,"[[""act_of_informing"", ""performed_by"", ""verbal_report""], [""act_of_informing"", ""method"", ""verbal_report""]]"
76,a man is playing the cello .,"[[""man"", ""playing"", ""cello""]]",a man seated is playing the cello .,"[[""man"", ""seated"", ""True""], [""man"", ""playing"", ""cello""]]"
77,each side had quite different theories and explanations of what was going on .,"[[""each_side"", ""had"", ""theories""], [""each_side"", ""had"", ""explanations""], [""theories"", ""of"", ""what_was_going_on""], [""explanations"", ""of"", ""what_was_going_on""]]",each player had the theories and explanations markedly different situation .,"[[""each_player"", ""had"", ""theories""], [""each_player"", ""had"", ""explanations""], [""theories"", ""markedly_different"", ""situation""], [""explanations"", ""markedly_different"", ""situation""]]"
78,"discern , identify , or know because of a previous experience","[[""previous_experience"", ""enables"", ""discern""], [""previous_experience"", ""enables"", ""identify""], [""previous_experience"", ""enables"", ""know""]]",be fully aware or cognizant of .,"[[""someone"", ""be_aware_of"", ""something""], [""someone"", ""be_cognizant_of"", ""something""]]"
79,but america 's interest in iraqi oil was not driven either by economics or energy policy .,"[[""America"", ""interested_in"", ""Iraqi_oil""], [""America"", ""interest_not_driven_by"", ""economics""], [""America"", ""interest_not_driven_by"", ""energy_policy""]]",but the interests of america for iraqi oil is dictated by the economy or the energy policy .,"[[""America"", ""interested_in"", ""Iraqi_oil""], [""America"", ""interest_dictated_by"", ""economy""], [""America"", ""interest_dictated_by"", ""energy_policy""]]"
80,"graves reported from albuquerque , villafranca from austin and ratcliffe from laredo .","[[""Graves"", ""reported_from"", ""Albuquerque""], [""Villafranca"", ""reported_from"", ""Austin""], [""Ratcliffe"", ""reported_from"", ""Laredo""]]",pete slover reported from laredo and gromer jeffers from albuquerque .,"[[""Pete_Slover"", ""reported_from"", ""Laredo""], [""Gromer_Jeffers"", ""reported_from"", ""Albuquerque""]]"
81,a group of penguins is walking .,"[[""group_of_penguins"", ""is_walking"", ""True""]]",a large amount of penguins are heading to the ocean .,"[[""large_amount_of_penguins"", ""are_heading_to"", ""ocean""]]"
82,the feeling of annoyance at being hindered or thwarted .,"[[""feeling_of_annoyance"", ""caused_by"", ""being_hindered""], [""feeling_of_annoyance"", ""caused_by"", ""being_thwarted""]]",a feeling of annoyance at being hindered or criticized .,"[[""feeling_of_annoyance"", ""caused_by"", ""being_hindered""], [""feeling_of_annoyance"", ""caused_by"", ""being_criticized""]]"
