id,paragraph_1,kg_1,paragraph_2,kg_2,paragraph_3,kg_3
102,"To determine the potential prognostic value of using functional magnetic resonance imaging (fMRI) to identify patients with disorders of consciousness, who show potential for recovery.","[[""functional_magnetic_resonance_imaging"", ""used_for"", ""identify_patients""], [""identify_patients"", ""with_disorders"", ""disorders_of_consciousness""], [""disorders_of_consciousness"", ""characterized_by"", ""potential_for_recovery""]]","The fMRI paradigm mental imagery displays a high concordance with the further clinical course of patients in a VS. All 5 patients in a VS who showed significant activation of ROIs had a favorable further course until the end of the observation period. We therefore propose the term ""functional minimally conscious state"" for these patients. They may benefit from rehabilitation treatment. In cases where no significant activation was seen, the method has no prognostic value. Prediction of the clinical course of patients in an MCS by fMRI was considerably less accurate than in patients in a VS.","[[""fMRI_paradigm_mental_imagery"", ""displays_concordance_with"", ""clinical_course""], [""clinical_course"", ""of_patients"", ""vegetative_state""], [""vegetative_state"", ""patients_show"", ""significant_activation_of_ROIs""], [""significant_activation_of_ROIs"", ""associated_with"", ""favorable_further_course""], [""favorable_further_course"", ""observed_in"", ""5_patients""], [""5_patients"", ""with_significant_activation"", ""had_favorable_outcome""], [""patients"", ""with_no_significant_activation"", ""no_prognostic_value""], [""fMRI"", ""proposed_term"", ""functional_minimally_conscious_state""], [""functional_minimally_conscious_state"", ""benefits_from"", ""rehabilitation_treatment""], [""fMRI"", ""less_accurate_in"", ""MCS_than_VS""]]","The fMRI paradigm mental imagery displays a high concordance with the further clinical course of patients in a VS. a favorable further course had All 5 patients in a VS who showed significant activation of ROIs until the end of the observation period. We therefore propose the term ""functional minimally conscious state"" for these patients. They may benefit from rehabilitation treatment. In cases where no significant activation was seen, the method has no prognostic value. Prediction of the clinical course of patients in an MCS by fMRI was considerably less accurate than in patients in a VS.","[[""fMRI_paradigm_mental_imagery"", ""displays_concordance_with"", ""clinical_course""], [""clinical_course"", ""of_patients"", ""vegetative_state""], [""vegetative_state"", ""patients_show"", ""significant_activation_of_ROIs""], [""significant_activation_of_ROIs"", ""associated_with"", ""favorable_further_course""], [""favorable_further_course"", ""observed_in"", ""5_patients""], [""5_patients"", ""with_significant_activation"", ""had_favorable_outcome""], [""patients"", ""with_no_significant_activation"", ""no_prognostic_value""], [""fMRI"", ""proposed_term"", ""functional_minimally_conscious_state""], [""functional_minimally_conscious_state"", ""benefits_from"", ""rehabilitation_treatment""], [""fMRI"", ""less_accurate_in"", ""MCS_than_VS""]]"
103,"To determine the potential prognostic value of using functional magnetic resonance imaging (fMRI) to identify patients with disorders of consciousness, who show potential for recovery.","[[""functional_magnetic_resonance_imaging"", ""used_to_identify"", ""patients_with_disorders_of_consciousness""], [""patients_with_disorders_of_consciousness"", ""show"", ""potential_for_recovery""]]","The fMRI paradigm mental imagery displays a high concordance with the further clinical course of patients in a VS. All 5 patients in a VS who showed significant activation of ROIs had a favorable further course until the end of the observation period. We therefore propose the term ""functional minimally conscious state"" for these patients. They may benefit from rehabilitation treatment. In cases where no significant activation was seen, the method has no prognostic value. Prediction of the clinical course of patients in an MCS by fMRI was considerably less accurate than in patients in a VS.","[[""fMRI_paradigm_mental_imagery"", ""displays_concordance_with"", ""clinical_course_of_patients""], [""patients_in_a_VS"", ""show"", ""significant_activation_of_ROIs""], [""patients_in_a_VS"", ""have"", ""favorable_further_course""], [""patients_with_significant_activation"", ""benefit_from"", ""rehabilitation_treatment""], [""fMRI"", ""has_no_prognostic_value"", ""in_cases_with_no_significant_activation""], [""fMRI"", ""predicts_clinical_course"", ""in_patients_in_a_VS""], [""fMRI"", ""predicts_clinical_course"", ""in_patients_in_an_MCS""], [""prediction_by_fMRI"", ""is_less_accurate"", ""in_patients_in_an_MCS""]]","A proportionally longer treatment duration was identified as an adverse factor in low-risk patients. Treatment breaks resulting in a NTDR of>/=33% (e.g., four or more breaks during a 40-fraction treatment, 5 d/wk) should be avoided.","[[""proportionally_longer_treatment_duration"", ""is"", ""adverse_factor""], [""proportionally_longer_treatment_duration"", ""affects"", ""low-risk_patients""], [""treatment_breaks"", ""result_in"", ""NTDR_of_/=33%""], [""NTDR_of_/=33%"", ""occurs_with"", ""four_or_more_breaks_during_a_40-fraction_treatment""], [""treatment_breaks"", ""should_be_avoided"", ""in_low-risk_patients""]]"
104,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.",[],"Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",[],"a high rate of mortality, was carryed by Emergency laparotomy. This could involve increasing acute surgical care manpower, early recognition of individuals requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",[]
98,"Severe upper gastrointestinal (GI) motor disorders, including gastroparesis (GP), can consume significant health care resources. Many patients are refractory to traditional drug therapy.","[[""Severe_upper_gastrointestinal_motor_disorders"", ""includes"", ""gastroparesis""], [""gastroparesis"", ""consume"", ""health_care_resources""], [""Many_patients"", ""refractory_to"", ""traditional_drug_therapy""]]","We conclude that GES is more effective in improving long-term GI symptoms and costs, and decreasing use of healthcare resources than intensive medical therapy, in this sample of patients with the symptoms of GP followed for 3 years. Certain patients with GP form a high-risk group in terms of costs, quality of life, morbidity and mortality.","[[""GES"", ""more_effective_than"", ""intensive_medical_therapy""], [""GES"", ""improves"", ""long-term_GI_symptoms""], [""GES"", ""decreases"", ""use_of_healthcare_resources""], [""intensive_medical_therapy"", ""compared_to"", ""GES""], [""patients_with_GP"", ""have"", ""high-risk_group""], [""high-risk_group"", ""associated_with"", ""costs""], [""high-risk_group"", ""associated_with"", ""quality_of_life""], [""high-risk_group"", ""associated_with"", ""morbidity""], [""high-risk_group"", ""associated_with"", ""mortality""], [""patients_with_GP"", ""followed_for"", ""3_years""]]","We conclude that GES is more effective in improving long-term GI symptoms and costs, and decreasing use of healthcare resources than intensive medical therapy, in this sample of patients with the symptoms of GP followed for 3 years. a high-risk group form Certain patients with GP in terms of costs, quality of life, morbidity and mortality.","[[""GES"", ""more_effective_than"", ""intensive_medical_therapy""], [""GES"", ""improves"", ""long-term_GI_symptoms""], [""GES"", ""decreases"", ""use_of_healthcare_resources""], [""intensive_medical_therapy"", ""compared_to"", ""GES""], [""Certain_patients_with_GP"", ""form"", ""high-risk_group""], [""high-risk_group"", ""associated_with"", ""costs""], [""high-risk_group"", ""associated_with"", ""quality_of_life""], [""high-risk_group"", ""associated_with"", ""morbidity""], [""high-risk_group"", ""associated_with"", ""mortality""], [""patients_with_GP"", ""followed_for"", ""3_years""]]"
104,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.","[[""Emergency_surgery"", ""associated_with"", ""poorer_outcomes""], [""Emergency_surgery"", ""associated_with"", ""higher_mortality""], [""Recent_studies"", ""suggest"", ""30-day_mortality""], [""30-day_mortality"", ""has_value"", ""14-15%""], [""Study"", ""aims_to_analyse"", ""30-day_mortality""], [""Study"", ""aims_to_analyse"", ""age-related_30-day_mortality""], [""Study"", ""aims_to_analyse"", ""1-year_mortality""], [""Study"", ""aims_to_analyse"", ""emergency_laparotomy""], [""Study"", ""hopes_to_encourage"", ""prospective_data_collection""], [""Study"", ""hopes_to_improve"", ""care""], [""Study"", ""hopes_to_establish"", ""best_practice""]]","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""Mortality"", ""particularly_affects"", ""those_over_70""], [""Improving_outcomes"", ""requires"", ""increasing_acute_surgical_care_manpower""], [""Improving_outcomes"", ""requires"", ""early_recognition_of_patients""], [""Improving_outcomes"", ""requires"", ""development_of_clear_management_protocols""], [""Improving_outcomes"", ""requires"", ""centralisation_of_emergency_surgical_services""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Specialist_centres"", ""provide"", ""hospital_services""], [""Specialist_centres"", ""provide"", ""community_outreach_services""], [""Community_outreach_services"", ""provide"", ""post-discharge_care""]]","a high rate of mortality, was carryed by Emergency laparotomy. This could involve increasing acute surgical care manpower, early recognition of individuals requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""High_rate_of_mortality"", ""can_be_addressed_by"", ""increasing_acute_surgical_care_manpower""], [""High_rate_of_mortality"", ""can_be_addressed_by"", ""early_recognition_of_individuals""], [""High_rate_of_mortality"", ""can_be_addressed_by"", ""development_of_clear_management_protocols""], [""High_rate_of_mortality"", ""can_be_addressed_by"", ""centralisation_of_emergency_surgical_services""], [""Emergency_surgical_services"", ""can_be_centralised_in"", ""specialist_centres""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Specialist_centres"", ""provide"", ""hospital_services""], [""Specialist_centres"", ""provide"", ""community_outreach_services""], [""Community_outreach_services"", ""provide"", ""post-discharge_care""]]"
105,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.","[[""Emergency_surgery"", ""associated_with"", ""poorer_outcomes""], [""Emergency_surgery"", ""associated_with"", ""higher_mortality""], [""Recent_studies"", ""suggest"", ""30-day_mortality""], [""30-day_mortality"", ""rate"", ""14-15%""], [""Study"", ""aim"", ""analyse_30-day_mortality""], [""Study"", ""aim"", ""analyse_age-related_30-day_mortality""], [""Study"", ""aim"", ""analyse_1-year_mortality""], [""Study"", ""aim"", ""improve_care""], [""Study"", ""aim"", ""initiate_strategies""], [""Strategies"", ""goal"", ""establish_best_practice""]]","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""Mortality"", ""especially_in"", ""age_over_70""], [""Improvement"", ""needed"", ""outcomes""], [""Improvement"", ""needed"", ""age_over_70""], [""Improvement"", ""could_involve"", ""increasing_acute_surgical_care_manpower""], [""Improvement"", ""could_involve"", ""early_recognition_of_patients""], [""Improvement"", ""could_involve"", ""development_of_management_protocols""], [""Improvement"", ""could_involve"", ""centralisation_of_emergency_surgical_services""], [""Emergency_surgical_services"", ""could_be"", ""centralised_to_specialist_centres""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Care_of_the_elderly_physicians"", ""provide"", ""hospital_services""], [""Care_of_the_elderly_physicians"", ""provide"", ""community_outreach_services""], [""Community_outreach_services"", ""for"", ""post-discharge_care""]]","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 110 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""Mortality"", ""especially_in"", ""age_over_110""], [""Improvement"", ""needed"", ""outcomes""], [""Improvement"", ""needed"", ""age_over_110""], [""Improvement"", ""could_involve"", ""increasing_acute_surgical_care_manpower""], [""Improvement"", ""could_involve"", ""early_recognition_of_patients""], [""Improvement"", ""could_involve"", ""development_of_management_protocols""], [""Improvement"", ""could_involve"", ""centralisation_of_emergency_surgical_services""], [""Emergency_surgical_services"", ""could_be"", ""centralised_to_specialist_centres""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Care_of_the_elderly_physicians"", ""provide"", ""hospital_services""], [""Care_of_the_elderly_physicians"", ""provide"", ""community_outreach_services""], [""Community_outreach_services"", ""for"", ""post-discharge_care""]]"
106,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.","[[""Emergency_surgery"", ""associated_with"", ""poorer_outcomes""], [""Emergency_surgery"", ""associated_with"", ""higher_mortality""], [""Recent_studies"", ""suggest"", ""30-day_mortality""], [""30-day_mortality"", ""value"", ""14-15%""], [""Study"", ""aim"", ""analyse_30-day_mortality""], [""Study"", ""aim"", ""analyse_age-related_30-day_mortality""], [""Study"", ""aim"", ""analyse_1-year_mortality""], [""Study"", ""aim"", ""improve_care""], [""Study"", ""aim"", ""establish_best_practice""], [""Emergency_laparotomy"", ""subject_of"", ""study""]]","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""High_rate_of_mortality"", ""especially_in"", ""age_group_over_70""], [""Improvement_of_outcomes"", ""needed"", ""in_age_group_over_70""], [""Improvement_of_outcomes"", ""could_involve"", ""increasing_acute_surgical_care_manpower""], [""Improvement_of_outcomes"", ""could_involve"", ""early_recognition_of_patients""], [""Improvement_of_outcomes"", ""could_involve"", ""development_of_clear_management_protocols""], [""Improvement_of_outcomes"", ""could_involve"", ""centralisation_of_emergency_surgical_services""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Multidisciplinary_teams"", ""involve"", ""hospital_services""], [""Multidisciplinary_teams"", ""involve"", ""community_outreach_services""], [""Community_outreach_services"", ""provide"", ""post-discharge_care""]]","a high rate of mortality, carries Emergency laparotomy especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""High_rate_of_mortality"", ""especially_in"", ""age_group_over_70""], [""Improvement_of_outcomes"", ""needed"", ""in_age_group_over_70""], [""Improvement_of_outcomes"", ""could_involve"", ""increasing_acute_surgical_care_manpower""], [""Improvement_of_outcomes"", ""could_involve"", ""early_recognition_of_patients""], [""Improvement_of_outcomes"", ""could_involve"", ""development_of_clear_management_protocols""], [""Improvement_of_outcomes"", ""could_involve"", ""centralisation_of_emergency_surgical_services""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""involve"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""involve"", ""care_of_the_elderly_physicians""], [""Multidisciplinary_teams"", ""involve"", ""hospital_services""], [""Multidisciplinary_teams"", ""involve"", ""community_outreach_services""], [""Community_outreach_services"", ""provide"", ""post-discharge_care""]]"
107,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.","[[""Emergency_surgery"", ""associated_with"", ""poorer_outcomes""], [""Emergency_surgery"", ""associated_with"", ""higher_mortality""], [""Recent_studies"", ""suggest"", ""30-day_mortality""], [""30-day_mortality"", ""rate"", ""14-15%""], [""Study"", ""aim"", ""analyse_30-day_mortality""], [""Study"", ""aim"", ""analyse_age-related_30-day_mortality""], [""Study"", ""aim"", ""analyse_1-year_mortality""], [""Study"", ""aim"", ""improve_care""], [""Study"", ""aim"", ""establish_best_practice""], [""Emergency_laparotomy"", ""subject_of"", ""study""]]","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","[[""Emergency_laparotomy"", ""carries"", ""high_rate_of_mortality""], [""Mortality"", ""higher_in"", ""people_over_70""], [""Improvement_of_outcomes"", ""needed"", ""especially_in_people_over_70""], [""Improvement_of_outcomes"", ""could_involve"", ""increasing_acute_surgical_care_manpower""], [""Improvement_of_outcomes"", ""could_involve"", ""early_recognition_of_patients""], [""Improvement_of_outcomes"", ""could_involve"", ""development_of_management_protocols""], [""Improvement_of_outcomes"", ""could_involve"", ""centralisation_of_emergency_surgical_services""], [""Emergency_surgical_services"", ""could_be_centralised_to"", ""specialist_centres""], [""Specialist_centres"", ""have"", ""multidisciplinary_teams""], [""Multidisciplinary_teams"", ""include"", ""emergency_surgeons""], [""Multidisciplinary_teams"", ""include"", ""care_of_the_elderly_physicians""], [""Specialist_centres"", ""provide"", ""hospital_services""], [""Specialist_centres"", ""provide"", ""community_outreach_services""], [""Community_outreach_services"", ""provide"", ""post-discharge_care""]]","Under the conditions of this study, preclerkship (year 2) CPEs strongly predicted medical students at risk for failing a senior CPE. This finding opens the opportunity for remediation of deficits prior to or during clerkships.","[[""Preclerkship_CPEs"", ""predict"", ""medical_students_at_risk""], [""Medical_students_at_risk"", ""identified"", ""prior_to_clerkships""], [""Preclerkship_CPEs"", ""strongly_predict"", ""failing_a_senior_CPE""], [""Remediation_of_deficits"", ""possible"", ""prior_to_clerkships""], [""Remediation_of_deficits"", ""possible"", ""during_clerkships""], [""Study"", ""finding"", ""opportunity_for_remediation""], [""CPEs"", ""taken"", ""year_2""], [""CPEs"", ""used_for"", ""identifying_medical_students_at_risk""]]"
108,"To compare two treatment strategies in preterm infants with or at risk of respiratory distress syndrome: early surfactant administration (within one hour of birth) versus late surfactant administration, in a geographically defined population.","[[""preterm_infants"", ""at_risk_of"", ""respiratory_distress_syndrome""], [""treatment_strategies"", ""compared_in"", ""preterm_infants""], [""early_surfactant_administration"", ""alternative_to"", ""late_surfactant_administration""], [""early_surfactant_administration"", ""administered_within"", ""one_hour_of_birth""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. This may support the growing evidence for consideration of CPAP as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_protective_against"", ""CLD/mortality""], [""early_surfactant_administration"", ""compared_to"", ""routine_intubation""], [""CPAP"", ""considered_as"", ""alternative_to_routine_intubation""], [""CPAP"", ""alternative_to"", ""early_surfactant_administration""], [""premature_infants"", ""affected_by"", ""CLD/mortality""], [""randomized_clinical_trials"", ""warranted_to"", ""confirm_results""]]",Early surfactant administration is linked with shorter duration of airing but does not appear to be importantly protective against CLD/mortality among premature infants. This may support the growing grounds for consideration of CPAP as an alternative to routine intubation and early surfactant administration. Further investigation from large randomised medical trials is warranted to confirm these findings.,"[[""early_surfactant_administration"", ""linked_with"", ""shorter_duration_of_airing""], [""early_surfactant_administration"", ""not_protective_against"", ""CLD/mortality""], [""early_surfactant_administration"", ""compared_to"", ""routine_intubation""], [""CPAP"", ""considered_as"", ""alternative_to_routine_intubation""], [""CPAP"", ""alternative_to"", ""early_surfactant_administration""], [""premature_infants"", ""affected_by"", ""CLD/mortality""], [""randomised_medical_trials"", ""warranted_to"", ""confirm_findings""]]"
109,"To compare two treatment strategies in preterm infants with or at risk of respiratory distress syndrome: early surfactant administration (within one hour of birth) versus late surfactant administration, in a geographically defined population.","[[""preterm_infants"", ""at_risk_of"", ""respiratory_distress_syndrome""], [""early_surfactant_administration"", ""compared_to"", ""late_surfactant_administration""], [""early_surfactant_administration"", ""given_within"", ""one_hour_of_birth""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. This may support the growing evidence for consideration of CPAP as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_significantly_protective_against"", ""CLD/mortality""], [""early_surfactant_administration"", ""alternative"", ""CPAP""], [""CPAP"", ""considered_as"", ""alternative_to_routine_intubation""], [""routine_intubation"", ""compared_to"", ""CPAP""], [""large_randomized_clinical_trials"", ""needed_to"", ""confirm_results""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. This may support the growing evidence for consideration of AMDA as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_significantly_protective_against"", ""CLD/mortality""], [""early_surfactant_administration"", ""alternative"", ""AMDA""], [""AMDA"", ""considered_as"", ""alternative_to_routine_intubation""], [""routine_intubation"", ""compared_to"", ""AMDA""], [""large_randomized_clinical_trials"", ""needed_to"", ""confirm_results""]]"
110,"To compare two treatment strategies in preterm infants with or at risk of respiratory distress syndrome: early surfactant administration (within one hour of birth) versus late surfactant administration, in a geographically defined population.","[[""preterm_infants"", ""at_risk_of"", ""respiratory_distress_syndrome""], [""early_surfactant_administration"", ""compared_to"", ""late_surfactant_administration""], [""early_surfactant_administration"", ""administered_within"", ""one_hour_of_birth""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. This may support the growing evidence for consideration of CPAP as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_significantly_protective_against"", ""CLD/mortality""], [""CLD/mortality"", ""occurs_in"", ""premature_infants""], [""CPAP"", ""considered_as"", ""alternative_to_intubation""], [""CPAP"", ""considered_as"", ""alternative_to_early_surfactant_administration""], [""large_randomized_clinical_trials"", ""needed_to"", ""confirm_results""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. the growing evidence for consideration of CPAP may support This as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_significantly_protective_against"", ""CLD/mortality""], [""CLD/mortality"", ""occurs_in"", ""premature_infants""], [""CPAP"", ""considered_as"", ""alternative_to_intubation""], [""CPAP"", ""considered_as"", ""alternative_to_early_surfactant_administration""], [""growing_evidence"", ""supports"", ""consideration_of_CPAP""], [""large_randomized_clinical_trials"", ""needed_to"", ""confirm_results""]]"
111,"To compare two treatment strategies in preterm infants with or at risk of respiratory distress syndrome: early surfactant administration (within one hour of birth) versus late surfactant administration, in a geographically defined population.","[[""preterm_infants"", ""at_risk_of"", ""respiratory_distress_syndrome""], [""preterm_infants"", ""treated_with"", ""early_surfactant_administration""], [""preterm_infants"", ""treated_with"", ""late_surfactant_administration""], [""early_surfactant_administration"", ""characterized_by"", ""administration_within_one_hour_of_birth""]]",Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significantly protective against CLD/mortality among premature infants. This may support the growing evidence for consideration of CPAP as an alternative to routine intubation and early surfactant administration. Further investigation from large randomized clinical trials is warranted to confirm these results.,"[[""early_surfactant_administration"", ""associated_with"", ""shorter_duration_of_ventilation""], [""early_surfactant_administration"", ""not_significantly_protective_against"", ""CLD/mortality""], [""CLD/mortality"", ""affects"", ""premature_infants""], [""CPAP"", ""considered_as"", ""alternative_to_routine_intubation""], [""CPAP"", ""considered_as"", ""alternative_to_early_surfactant_administration""], [""early_surfactant_administration"", ""compared_to"", ""routine_intubation""]]","The call for boycott did not affect the campaign significantly. However, if the call for boycott is repeated in future it could have some significant negative implication to polio eradication. It is therefore important to ensure that any vaccine safety issues are addressed accordingly.","[[""call_for_boycott"", ""did_not_affect"", ""campaign""], [""call_for_boycott"", ""could_have"", ""negative_implication""], [""negative_implication"", ""affects"", ""polio_eradication""], [""vaccine_safety_issues"", ""need_to_be"", ""addressed""], [""vaccine_safety_issues"", ""related_to"", ""polio_eradication""], [""polio_eradication"", ""goal_of"", ""campaign""]]"
