row_id,sentence1,sentence2,kg1,kg2
37,Someone is carving a statue.,A man is carving a statue.,"[['Someone', 'isCarving', 'Statue']]","[['Man', 'activity', 'carve'], ['Man', 'entityType', 'Person'], ['Man', 'isPerforming', 'carving_statue']]
['carving_statue', 'type','statue']

Or, if we assume the text is about a specific man carving a specific statue:

[['Man_X', 'activity', 'carve'], ['Man_X', 'entityType', 'Person'], ['Man_X', 'isPerforming', 'Statue_Y'], ['Statue_Y', 'type','statue']]"
38,A woman is slicing an onion.,A man is cutting an onion.,"[['woman', 'action', 'onion\_slicing']]","[['A_man', 'action', 'cutting'], ['Onion', 'isTypeOf', 'Food_item'], ['Onion', 'isUsedIn', 'Cutting']]"
39,A woman peels shrimp.,A woman is peeling shrimp.,[],"[['A_woman', 'action', 'peel_shrimp']]
['Shrimp', 'isInstanceOf', 'Food']
['Food', 'type', 'Seafood']"
40,A woman is frying fish.,A woman is cooking fish.,"[['woman', 'activity', 'frying'], ['woman', 'object', 'fish']]","[['woman', 'activity', 'cooking'], ['cooking', 'food', 'fish']]"
41,A woman is playing an electric guitar.,A woman is playing a guitar.,"[['Woman', 'plays', 'Electric_guitar']]","[['woman', 'plays', 'guitar']]"
42,A baby tiger is playing with a ball.,A baby is playing with a doll.,"[['Baby_tiger', 'isPlayingWith', 'Ball']]","[['Baby', 'playingWith', 'Doll']]"
43,A person is slicing a tomato.,A person is slicing some meat.,"[['Person', 'action', 'tomato_slicing']]","[['Person', 'action','meat\_slicing']]"
44,A person cuts an onion.,A person is cutting an onion.,"[['Person', 'action', 'cut'], ['Onion', 'isTypeOf', 'Food']]","[['Person', 'action', 'cutting'], ['Onion', 'isTypeOf', 'Food']]"
45,A man is playing the piano.,A woman is playing the violin.,"[['Man', 'plays', 'Piano']]","[[' Woman', 'plays', 'Violin']]"
46,A woman is playing the flute.,A man is playing the guitar.,"[[' Woman', 'plays', 'flute']]","[['Man', 'plays', 'Guitar']]"
47,A man is cutting up a potato.,A man is cutting up carrots.,"[['A_man', 'action', 'cutting'], ['Potato', 'isBeingCutBy', 'A_man']]","[['man', 'action', 'cutting'], ['man', 'object', 'carrots']]"
48,A kid is playing guitar.,A boy is playing a guitar.,"[['A_kid', 'plays', 'guitar']]","[['A_boy', 'plays', 'guitar']]"
49,A boy is playing guitar.,A man is playing a guitar.,"[['Boy', 'plays', 'Guitar']]","[['Man', 'plays', 'Guitar']]"
50,A man is playing guitar.,A boy is playing a guitar.,"[['Man', 'plays', 'Guitar']]","[['A_boy', 'plays', 'guitar']]"
51,A little boy is playing a keyboard.,A boy is playing key board.,"[['a_little_boy', 'plays', 'keyboard']]","[['A_boy', 'plays', 'keyboard']]"
52,A man is playing a guitar.,A man is playing an electric guitar.,"[['Man', 'plays', 'Guitar']]","[['Man', 'plays', 'Electric_guitar']]"
53,A dog licks a baby.,A dog is licking a baby.,"[['dog', 'behavior', 'lick'], ['baby', 'age', 'baby']]
['dog', 'entityType', 'Animal']
['baby', 'entityType', 'Human']

[['dog', 'interactsWith', 'baby']]","[['dog', 'action', 'licking'], ['baby', 'entity', 'baby']]
['dog', 'entity', 'dog']
['baby', 'entity', 'baby']"
54,A woman is slicing an onion.,A man is cutting and onion.,"[['woman', 'action', 'onion\_slicing']]","[['A_man', 'action', 'cutting_an_onion']]"
55,A man is playing the guitar.,A man is playing the drums.,"[['Man', 'plays', 'Guitar']]","[['Man', 'plays', 'Drums']]"
56,A woman is slicing a pepper.,A woman is cutting a red pepper.,"[['woman', 'action','slice'], ['pepper', 'isTypeOf', 'pepper_vegetable']]","[['woman', 'action', 'cut'], ['woman', 'object','red_pepper']]"
57,A man is playing the drums.,A man plays the drum.,"[['Man', 'plays', 'Drums']]","[['Man', 'plays', 'Drum']]"
58,A woman rides a horse.,A woman is riding a horse.,"[['woman', 'rides', 'horse']]","[['woman', 'riding', 'horse']]"
59,A man is eating a banana by a tree.,A man is eating a banana.,"[['Man', 'isEating', 'Banana'], ['Banana', 'isBeingEatenBy', 'Man'], ['Man', 'isSituatedNear', 'Tree']]","[['Man', 'isEating', 'Banana']]"
60,A cat is playing a key board.,A man is playing two keyboards.,"[['Cat', 'plays', 'Keyboard']]","[['Man', 'plays', 'Keyboard1'], ['Man', 'plays', 'Keyboard2']]"
61,A man chops down a tree with an axe.,A man cut a tree with an axe.,"[['Man', 'usesTool', 'Axe'], ['Axe', 'toolType', 'Axe'], ['Man', 'action', 'chopsDownTree']]","[['Man', 'uses', 'Axe'], ['Axe', 'tool', 'Tree']]"
62,A kid plays with a toy phone.,A little boy plays with a toy phone.,"[['A_kid', 'playsWith', 'toy_phone']]","[['a_little_boy', 'playsWith', 'toy_phone']]"
63,A man is riding a motorcycle.,A man is riding a horse.,"[['Man', 'riding', 'Motorcycle']]","[['Man', 'riding', 'Horse']]"
64,A man is riding a motorcycle.,A man is riding a horse.,"[['Man', 'riding', 'Motorcycle']]","[['Man', 'riding', 'Horse']]"
65,A squirrel is spinning around in circles.,A squirrel runs around in circles.,"[['Squirrel', 'action','spinning_around'], ['Squirrel','motion', 'circles']]","[['Squirrel', 'runsAround', 'Circle']]"
66,A man and a woman are kissing.,A man and woman kiss.,[],[]
67,A man is getting into a car.,A man is getting into a car in a garage.,"[['Man', 'action', 'getting_into'], ['Man', 'entity', 'car']]","[['Man', 'action', 'getting_into'], ['Man', 'location', 'garage'], ['Garage', 'type', 'car_garage']]"
68,A man is dancing.,A man is talking.,"[['Man', 'isPerforming', 'Dancing']]",[]
69,A man is playing the guitar and singing.,A man is playing the guitar.,"[['Man', 'plays', 'Guitar'], ['Man','singing']]","[['Man', 'plays', 'Guitar']]"
70,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,"[['Person', 'action', 'cutting'], ['Person', 'object','mushrooms']]","[['Person', 'action', 'cutting'], ['Person', 'tool', 'knife'], ['Mushrooms', 'isBeingCutBy', 'Person']]"
71,A tiger cub is making a sound.,A tiger is walking around.,"[['Tiger_cub','makingSound', 'True']]","[['Tiger', 'isWalkingAround']]"
72,A person is slicing onions.,A person is peeling an onion.,"[['Person', 'action','slicing_onions']]","[['Person', 'action', 'peel_onion']]"
73,A man is playing the piano.,A man is playing the trumpet.,"[['Man', 'plays', 'Piano']]","[['Man', 'plays', 'Trumpet']]"
74,A woman is peeling a potato.,A woman is peeling an apple.,"[['A_woman', 'action', 'peel_potato']]","[['Apple', 'isBeingPeeledBy', 'Woman']]"
75,A pankda is eating bamboo.,A panda bear is eating some bamboo.,"[['Pankda', 'isEating', 'Bamboo']]","[['Panda_bear', 'eating', 'Bamboo']]"
76,A person is peeling an onion.,A person is peeling an eggplant.,"[['Person', 'action', 'peel_onion']]","[['eggplant', 'isBeingPeeledBy', 'Person']]"
77,A monkey pushes another monkey.,The monkey pushed the other monkey.,"[['Monkey1', 'pushes', 'Monkey2']]","[['Monkey1', 'pushed', 'Monkey2']]"
78,A squirrel runs around in circles.,A squirrel is moving in circles.,"[['Squirrel', 'runsAround', 'Circle']]","[['Squirrel', 'action','moving_in_circles']]"
79,A man is tying his shoe.,A man ties his shoe.,"[['A_man', 'isPerforming', 'tying_his_shoe']]","[['A_man', 'action', 'ties_shoe']]"
80,A boy is singing and playing the piano.,A boy is playing the piano.,"[['Boy','singing', '_'], ['Boy', 'playing', 'Piano']]","[['Boy', 'plays', 'Piano']]"
81,A dog is eating water melon.,A dog is eating a piece of watermelon.,"[['A_dog', 'eats', 'Water_melon']]","[['A_dog', 'action', 'eating'], ['A_dog', 'food', 'watermelon']]"
82,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,"[['woman', 'action', 'chopping'], ['broccoli', 'beingChoppedBy', 'woman']]","[['woman', 'chops', 'broccoli'], ['broccoli', 'isChoppedBy', 'woman'], ['woman', 'uses', 'knife'], ['knife', 'isUsedForChopping', 'broccoli']]"
83,A man is peeling a potato.,A man peeled a potatoe.,"[['A_man', 'action', 'peel_potato']]","[['A_man', 'action', 'peel'], ['Potatoe', 'isInstanceOf', 'Potato']]"
84,A woman is playing a guitar.,A man plays a guitar.,"[['woman', 'plays', 'guitar']]","[['Man', 'plays', 'Guitar']]"
85,A woman is slicing tomato.,A man is slicing onion.,"[['woman', 'action', 'tomato_slicing']]","[['Man', 'action','slicing_onion']]"
86,A man swims underwater.,A woman is swimming underwater.,"[['Man','swims', '_'], ['Man', 'location', 'underwater']]","[[' Woman', 'activity','swimming'], [' Woman', 'location', 'underwater']]"
87,A man and woman are talking.,A man and woman is eating.,[],"[['Man', 'isEating','Woman'], ['Man','relationship', 'Eating'], ['Woman', 'isEating','Man'], ['Woman','relationship', 'Eating']]"
88,A small dog is chasing a yoga ball.,A dog is chasing a ball.,"[['small_dog', 'action', 'chasing'], ['small_dog', 'object', 'yoga\_ball']]","[['A_dog', 'action', 'chase'], ['A_dog', 'object', 'ball']]"
89,The men are playing cricket.,The men are playing basketball.,"[['Men', 'play', 'Cricket']]","[['Men', 'playSport', 'Basketball']]"
90,A man rides off on a motorcycle.,A man is riding on a motorcycle.,"[['Man', 'rides', 'Motorcycle']]","[['Man', 'isRidingOn', 'Motorcycle']]"
91,A man is playing a guitar.,A man is singing and playing a guitar.,"[['Man', 'plays', 'Guitar']]","[['Man','singing', '_'], ['Man', 'playingMusicInstrument', 'Guitar']]"
92,The man talked on the telephone.,The man is talking on the phone.,"[['man', 'talkedOn', 'telephone']]","[['man', 'activity', 'talking_on_phone']]"
93,A man is fishing.,A man is exercising.,"[['Man', 'activity', 'Fishing']]","[['A_man', 'isPerforming', 'Exercising']]"
94,A man is levitating.,A man is talking.,[],[]
95,Two boys are driving.,Two bays are dancing.,"[['Two_boys', 'activity', 'driving']]",[]
96,A man is riding on a horse.,A girl is riding a horse.,"[['Man', 'ridingOn', 'Horse']]","[['girl', 'riding', 'horse']]"
97,A man is riding a bicycle.,A monkey is riding a bike.,"[['Man', 'riding', 'Bicycle']]","[['Monkey', 'riding', 'Bike']]"
98,A man is slicing potatoes.,A woman is peeling potato.,"[['Man', 'action', 'potato_slicing']]","[['A_woman', 'action', 'peeling_potato']]"
99,A woman is peeling a potato.,A man is slicing potato.,"[['A_woman', 'action', 'peel_potato']]","[['Man', 'action','slice_potato']]"
