id,paragraph_1,kg_1,paragraph_2,kg_2
31,The third group mostly contains soft ions of post-transition metals .,"[[""third_group"", ""contains"", ""soft_ions""], [""soft_ions"", ""are"", ""post-transition_metals""]]",The third group contains mostly post-transition ions ion of soft metals .,"[[""third_group"", ""contains"", ""post-transition_ions""], [""post-transition_ions"", ""are"", ""soft_metals""]]"
32,His father returned as a finished violinist of the Russian School to Bombay .,"[[""His_father"", ""returned_to"", ""Bombay""], [""His_father"", ""is"", ""finished_violinist""], [""His_father"", ""trained_in"", ""Russian_School""]]",His father returned to Bombay as a finished violinist of the Russian school .,"[[""His_father"", ""returned_to"", ""Bombay""], [""His_father"", ""is"", ""finished_violinist""], [""His_father"", ""trained_in"", ""Russian_School""]]"
33,"The building of the museum was built in 1948 according to designs by Wadsworth , Boston 's Tuttle of Portland .","[[""museum"", ""built_in"", ""1948""], [""museum"", ""designed_by"", ""Wadsworth""], [""museum"", ""designed_by"", ""Tuttle_of_Portland""], [""Tuttle_of_Portland"", ""location"", ""Boston""], [""Wadsworth"", ""collaborated_with"", ""Tuttle_of_Portland""]]","The museum 's building was built in 1948 , with designs by Wadsworth , Portland & Tuttle of Boston .","[[""museum"", ""built_in"", ""1948""], [""museum"", ""designed_by"", ""Wadsworth""], [""museum"", ""designed_by"", ""Tuttle_of_Boston""], [""museum"", ""designed_by"", ""Portland""], [""Wadsworth"", ""collaborated_with"", ""Tuttle_of_Boston""], [""Wadsworth"", ""collaborated_with"", ""Portland""]]"
34,"The flag from Kenya of 1963 is white , but has inserted similar lines between the colors .","[[""Kenya"", ""has_flag"", ""flag_of_Kenya_1963""], [""flag_of_Kenya_1963"", ""color"", ""white""], [""flag_of_Kenya_1963"", ""has_lines"", ""similar_lines""]]","The flag of Kenya of 1963 is white , but has similar lines inserted in between the colors .","[[""Kenya"", ""has_flag"", ""flag_of_Kenya_1963""], [""flag_of_Kenya_1963"", ""color"", ""white""], [""flag_of_Kenya_1963"", ""has_lines"", ""similar_lines""]]"
35,"Andreas Schelfhout was born in Schellingwoude in Amsterdam and studied painting with Nicolaas Johannes Roosenboom , a leading romantic landscape painter .","[[""Andreas_Schelfhout"", ""born_in"", ""Schellingwoude""], [""Schellingwoude"", ""location"", ""Amsterdam""], [""Andreas_Schelfhout"", ""studied_with"", ""Nicolaas_Johannes_Roosenboom""], [""Nicolaas_Johannes_Roosenboom"", ""is"", ""romantic_landscape_painter""]]","Nicolaas Johannes Roosenboom was born in Schellingwoude in Amsterdam and studied painting with Andreas Schelfhout , a leading romantic landscape painter .","[[""Nicolaas_Johannes_Roosenboom"", ""born_in"", ""Schellingwoude""], [""Schellingwoude"", ""location"", ""Amsterdam""], [""Nicolaas_Johannes_Roosenboom"", ""studied_with"", ""Andreas_Schelfhout""], [""Andreas_Schelfhout"", ""is"", ""romantic_landscape_painter""]]"
36,"The current Chief Executive is Mathew Walker , and the chairman from 2002 to 2009 was Martin Dean , who was replaced by Eric Bowen .","[[""Mathew_Walker"", ""is"", ""Chief_Executive""], [""Martin_Dean"", ""was"", ""chairman""], [""Martin_Dean"", ""served_from"", ""2002""], [""Martin_Dean"", ""served_to"", ""2009""], [""Martin_Dean"", ""was_replaced_by"", ""Eric_Bowen""]]","The current Chief Executive is Martin Dean , and the Chairman from 2002 to 2009 , was Mathew Walker , who was succeeded by Eric Bowen .","[[""Martin_Dean"", ""is"", ""Chief_Executive""], [""Mathew_Walker"", ""was"", ""Chairman""], [""Mathew_Walker"", ""served_from"", ""2002""], [""Mathew_Walker"", ""served_to"", ""2009""], [""Mathew_Walker"", ""was_succeeded_by"", ""Eric_Bowen""]]"
37,"He studied in Regensburg , then in Munich , where Joseph Haas was among his teachers , and in Berlin where in 1925 he gained a Ph.D..","[[""He"", ""studied_in"", ""Regensburg""], [""He"", ""studied_in"", ""Munich""], [""Joseph_Haas"", ""was_teacher_of"", ""He""], [""He"", ""studied_in"", ""Berlin""], [""He"", ""gained_PhD_in"", ""1925""]]","He studied in Regensburg , then in Munich , where Joseph Haas was among his teachers , and in Berlin , where he received a doctorate in 1925 .","[[""He"", ""studied_in"", ""Regensburg""], [""He"", ""studied_in"", ""Munich""], [""Joseph_Haas"", ""was_teacher_of"", ""He""], [""He"", ""studied_in"", ""Berlin""], [""He"", ""received_doctorate_in"", ""1925""]]"
38,"The Roman - Catholic diocese of Cyangugu is a diocese in the town of Kigali in the ecclesiastical province of Cyangugu , Rwanda .","[[""Roman_Catholic_diocese_of_Cyangugu"", ""location"", ""Kigali""], [""Roman_Catholic_diocese_of_Cyangugu"", ""part_of"", ""ecclesiastical_province_of_Cyangugu""], [""ecclesiastical_province_of_Cyangugu"", ""location"", ""Rwanda""]]","The Roman - Catholic diocese of Cyangugu is a diocese in the city of Cyangugu in the church province of Kigali , Rwanda .","[[""Roman_Catholic_diocese_of_Cyangugu"", ""location"", ""Cyangugu""], [""Roman_Catholic_diocese_of_Cyangugu"", ""part_of"", ""church_province_of_Kigali""], [""church_province_of_Kigali"", ""location"", ""Rwanda""]]"
39,Pemberton Township is located in the 8th Congressional District and is part of the 3rd State Legislative District in New Jersey .,"[[""Pemberton_Township"", ""location"", ""8th_Congressional_District""], [""Pemberton_Township"", ""part_of"", ""3rd_State_Legislative_District""], [""3rd_State_Legislative_District"", ""location"", ""New_Jersey""]]",Pemberton Township is located in the 3rd Congressional District and is part of New Jersey 's 8th state legislative district .,"[[""Pemberton_Township"", ""location"", ""3rd_Congressional_District""], [""Pemberton_Township"", ""part_of"", ""8th_State_Legislative_District""], [""8th_State_Legislative_District"", ""location"", ""New_Jersey""]]"
40,"The school is located in Seminole County , near Winter Springs and Oviedo , despite its postal address of Winter Park , Florida , which is in Orange County .","[[""school"", ""location"", ""Seminole_County""], [""school"", ""near"", ""Winter_Springs""], [""school"", ""near"", ""Oviedo""], [""school"", ""postal_address"", ""Winter_Park""], [""Winter_Park"", ""location"", ""Orange_County""], [""Orange_County"", ""location"", ""Florida""]]","The school is in Seminole County , near Winter Springs and Oviedo , despite its mailing address of Winter Park , Florida , which is in Orange County .","[[""school"", ""location"", ""Seminole_County""], [""school"", ""near"", ""Winter_Springs""], [""school"", ""near"", ""Oviedo""], [""school"", ""mailing_address"", ""Winter_Park""], [""Winter_Park"", ""location"", ""Orange_County""], [""Orange_County"", ""location"", ""Florida""]]"
41,"The singers of Sonic Syndicate , Richard Sjunnesson and Peter Wichers , sang also for a compilation - album , called `` with Soilwork guitarist Roland Johansson .","[[""Sonic_Syndicate"", ""has_singers"", ""Richard_Sjunnesson""], [""Sonic_Syndicate"", ""has_singers"", ""Peter_Wichers""], [""Richard_Sjunnesson"", ""sang_for"", ""compilation_album""], [""Peter_Wichers"", ""sang_for"", ""compilation_album""], [""compilation_album"", ""featured"", ""Roland_Johansson""], [""Roland_Johansson"", ""is_guitarist_of"", ""Soilwork""]]","The singers of Sonic Syndicate , Richard Sjunnesson and Roland Johansson , also sang for a compilation album , called `` with Soilwork guitarist Peter Wichers .","[[""Sonic_Syndicate"", ""has_singers"", ""Richard_Sjunnesson""], [""Sonic_Syndicate"", ""has_singers"", ""Roland_Johansson""], [""Richard_Sjunnesson"", ""sang_for"", ""compilation_album""], [""Roland_Johansson"", ""sang_for"", ""compilation_album""], [""compilation_album"", ""featured"", ""Peter_Wichers""], [""Peter_Wichers"", ""is_guitarist_of"", ""Soilwork""]]"
42,"Fontaine Charles-Péguy , Square Alain Gilot , rue Montempoivre 1989 , Charles Péguy , architect , and Liliane Grunig Tribel , landscape architect .","[[""Fontaine_Charles-Péguy"", ""located_on"", ""rue_Montempoivre""], [""Fontaine_Charles-Péguy"", ""near"", ""Square_Alain_Gilot""], [""Charles_Péguy"", ""is"", ""architect""], [""Liliane_Grunig_Tribel"", ""is"", ""landscape_architect""], [""Fontaine_Charles-Péguy"", ""designed_by"", ""Charles_Péguy""]]","Fontaine Charles - Péguy , Square Charles Péguy , rue Montempoivre 1989 , architect Alain Gilot , and Liliane Grunig Tribel , landscape architect .","[[""Fontaine_Charles-Péguy"", ""located_on"", ""rue_Montempoivre""], [""Fontaine_Charles-Péguy"", ""near"", ""Square_Charles_Péguy""], [""Alain_Gilot"", ""is"", ""architect""], [""Liliane_Grunig_Tribel"", ""is"", ""landscape_architect""]]"
