row_id,sentence1,sentence2,kg1,kg2
38,A woman is slicing an onion.,A man is cutting an onion.,"[['woman', 'is_performing', 'slicing'], ['woman', 'is_performing_action_on', 'onion']]","[['man', 'is_performing', 'cutting'], ['man', 'is_performing_action_on', 'onion']]"
39,A woman peels shrimp.,A woman is peeling shrimp.,"[['woman', 'performs_action', 'peels_shrimp'], ['peels_shrimp', 'is_action_performed_on', 'shrimp']]","[['woman', 'performs_action', 'peels_shrimp'], ['peels_shrimp', 'is_action_performed_on', 'shrimp']]"
40,A woman is frying fish.,A woman is cooking fish.,"[['woman', 'is_cooking', 'fish']]","[['woman', 'is_cooking', 'fish']]"
41,A woman is playing an electric guitar.,A woman is playing a guitar.,"[['woman', 'plays', 'electric guitar']]","[['woman', 'plays', 'guitar']]"
42,A baby tiger is playing with a ball.,A baby is playing with a doll.,"[['baby tiger', 'is_playing_with', 'ball']]","[['baby', 'is_playing_with', 'doll']]"
43,A person is slicing a tomato.,A person is slicing some meat.,"[['person', 'is_performing', 'slicing'], ['person', 'is_performing', 'tomato_slicing'], ['tomato_slicing', 'is_type_of', 'food_preparation'], ['tomato', 'is_type_of', 'fruit']]","[['person', 'is_performing', 'slicing'], ['person', 'is_performing', 'meat_slicing'], ['meat_slicing', 'is_type_of', 'food_preparation'], ['meat', 'is_type_of', 'animal_product']]"
44,A person cuts an onion.,A person is cutting an onion.,"[['a_person', 'performs_action', 'cuts_onion'], ['onion', 'is_type_of', 'food'], ['onion', 'is_type_of', 'vegetable']]","[['a_person', 'performs_action', 'is_cutting_onion'], ['onion', 'is_type_of', 'food'], ['onion', 'is_type_of', 'vegetable']]"
45,A man is playing the piano.,A woman is playing the violin.,"[['man', 'plays', 'piano']]","[['woman', 'plays', 'violin']]"
46,A woman is playing the flute.,A man is playing the guitar.,"[['woman', 'plays', 'flute']]","[['man', 'plays', 'guitar']]"
47,A man is cutting up a potato.,A man is cutting up carrots.,"[['a_man', 'is_performing', 'potato_cutting'], ['potato_cutting', 'involves', 'potato']]","[['a_man', 'is_performing', 'carrot_cutting'], ['carrot_cutting', 'involves', 'carrots']]"
48,A kid is playing guitar.,A boy is playing a guitar.,"[['A kid', 'plays', 'guitar']]","[['A boy', 'plays', 'guitar']]"
49,A boy is playing guitar.,A man is playing a guitar.,"[['boy', 'plays', 'guitar'], ['boy', 'is_a', 'person'], ['guitar', 'is_a', 'musical_instrument']]","[['man', 'plays', 'guitar'], ['man', 'is_a', 'person'], ['guitar', 'is_a', 'musical_instrument']]"
50,A man is playing guitar.,A boy is playing a guitar.,"[['man', 'plays', 'guitar'], ['man', 'is_a', 'person']]","[['boy', 'plays', 'guitar'], ['boy', 'is_a', 'person']]"
51,A little boy is playing a keyboard.,A boy is playing key board.,"[['a little boy', 'is playing', 'keyboard']]","[['a boy', 'is playing', 'key board']]"
52,A man is playing a guitar.,A man is playing an electric guitar.,"[['a_man', 'plays', 'guitar']]","[['a_man', 'plays', 'electric_guitar']]"
53,A dog licks a baby.,A dog is licking a baby.,"[['dog', 'performs_action', 'licking'], ['dog', 'entity_type', 'animal'], ['baby', 'entity_type', 'human'], ['baby', 'age', 'infant']]","[['dog', 'performs_action', 'licking'], ['dog', 'entity_type', 'animal'], ['baby', 'entity_type', 'human'], ['baby', 'age', 'infant'], ['dog', 'is_acting_on', 'baby']]"
54,A woman is slicing an onion.,A man is cutting and onion.,"[['woman', 'is_performing', 'slicing'], ['woman', 'is_performing', 'onion_cutting'], ['onion', 'is_being_cut_by', 'woman'], ['onion', 'is_a', 'vegetable']]","[['man', 'is_performing', 'cutting'], ['man', 'is_performing', 'onion_cutting'], ['onion', 'is_being_cut_by', 'man'], ['onion', 'is_a', 'vegetable']]"
55,A man is playing the guitar.,A man is playing the drums.,"[['a_man', 'plays_musical_instrument', 'guitar']]","[['a_man', 'plays_musical_instrument', 'drums']]"
56,A woman is slicing a pepper.,A woman is cutting a red pepper.,"[['woman', 'is_performing', 'pepper_slicing'], ['pepper_slicing', 'is_action_of', 'woman'], ['pepper_slicing', 'is_type_of', 'pepper_preparation'], ['pepper', 'is_type_of', 'bell_pepper'], ['pepper', 'is_type_of', 'fruit'], ['pepper', 'is_type_of', 'vegetable']]","[['woman', 'is_performing', 'pepper_cutting'], ['pepper_cutting', 'is_action_of', 'woman'], ['pepper_cutting', 'is_type_of', 'pepper_preparation'], ['red_pepper', 'is_type_of', 'bell_pepper'], ['red_pepper', 'is_type_of', 'fruit'], ['red_pepper', 'is_type_of', 'vegetable']]"
57,A man is playing the drums.,A man plays the drum.,"[['a_man', 'plays', 'drums']]","[['a_man', 'plays', 'drum']]"
58,A woman rides a horse.,A woman is riding a horse.,"[['woman', 'rides', 'horse']]","[['woman', 'is riding', 'horse']]"
59,A man is eating a banana by a tree.,A man is eating a banana.,"[['a_man', 'is_eating', 'banana'], ['banana', 'is_a', 'fruit'], ['banana', 'is_grown_on', 'tree'], ['tree', 'is_a', 'plant']]","[['a_man', 'is_eating', 'banana']]"
60,A cat is playing a key board.,A man is playing two keyboards.,"[['cat', 'plays', 'keyboard']]","[['man', 'plays', 'keyboard_1'], ['man', 'plays', 'keyboard_2']]"
61,A man chops down a tree with an axe.,A man cut a tree with an axe.,"[['a_man', 'chops_down', 'a_tree'], ['a_man', 'uses', 'an_axe'], ['a_tree', 'is_made_of', 'wood']]","[['a_man', 'cut', 'a_tree'], ['a_man', 'uses', 'an_axe']]"
62,A kid plays with a toy phone.,A little boy plays with a toy phone.,"[['a_kid', 'plays_with', 'toy_phone']]","[['a_little_boy', 'plays_with', 'toy_phone']]"
63,A man is riding a motorcycle.,A man is riding a horse.,"[['a_man', 'is_riding', 'motorcycle']]","[['a_man', 'is_riding', 'horse']]"
64,A man is riding a motorcycle.,A man is riding a horse.,"[['a_man', 'is_riding', 'motorcycle']]","[['a_man', 'is_riding', 'horse']]"
65,A squirrel is spinning around in circles.,A squirrel runs around in circles.,[],[]
66,A man and a woman are kissing.,A man and woman kiss.,"[['man', 'is involved in', 'kissing'], ['woman', 'is involved in', 'kissing'], ['man', 'is related to', 'kissing event'], ['woman', 'is related to', 'kissing event']]","[['man', 'is involved in', 'kissing'], ['woman', 'is involved in', 'kissing']]"
67,A man is getting into a car.,A man is getting into a car in a garage.,"[['a_man', 'is_getting_into', 'car']]","[['a_man', 'is_getting_into', 'car'], ['car', 'located_at', 'garage']]"
68,A man is dancing.,A man is talking.,"[['a_man', 'is_performing', 'dancing']]","[['a_man', 'is_performing', 'talking']]"
69,A man is playing the guitar and singing.,A man is playing the guitar.,"[['a_man', 'plays', 'guitar'], ['a_man', 'performs', 'singing'], ['singing', 'is_a', 'performance']]","[['a_man', 'plays', 'guitar']]"
70,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,"[['a_person', 'is_performing', 'cutting'], ['cutting', 'involves', 'mushrooms'], ['mushrooms', 'is_a', 'edible_fungi']]","[['a_person', 'is_performing', 'cutting'], ['cutting', 'requires_tool', 'knife'], ['mushrooms', 'is_a', 'edible_fungi']]"
71,A tiger cub is making a sound.,A tiger is walking around.,"[['tiger cub', 'makes_sound', 'tiger cub sound']]",[]
72,A person is slicing onions.,A person is peeling an onion.,"[['a_person', 'is_performing', 'slicing_onions'], ['onions', 'is_type_of', 'vegetable'], ['slicing_onions', 'is_type_of', 'food_preparation']]","[['a_person', 'is_performing', 'peeling_onion'], ['onions', 'is_type_of', 'vegetable'], ['peeling_onion', 'is_type_of', 'food_preparation']]"
73,A man is playing the piano.,A man is playing the trumpet.,"[['a_man', 'plays', 'piano']]","[['a_man', 'plays', 'trumpet']]"
74,A woman is peeling a potato.,A woman is peeling an apple.,"[['woman', 'performs_action', 'peels_potato'], ['potato', 'is_a', 'food'], ['potato', 'is_a', 'vegetable']]","[['woman', 'performs_action', 'peels_apple'], ['apple', 'is_a', 'fruit'], ['apple', 'is_a', 'fruit_type']]"
75,A pankda is eating bamboo.,A panda bear is eating some bamboo.,"[['panda', 'is eating', 'bamboo']]","[['panda bear', 'is eating', 'bamboo']]"
76,A person is peeling an onion.,A person is peeling an eggplant.,"[['a_person', 'is_performing', 'peeling'], ['peeling', 'of', 'onion'], ['onion', 'is_a', 'vegetable']]","[['a_person', 'is_performing', 'peeling'], ['peeling', 'of', 'eggplant'], ['eggplant', 'is_a', 'vegetable']]"
77,A monkey pushes another monkey.,The monkey pushed the other monkey.,"[['monkey_1', 'pushed', 'monkey_2']]","[['monkey_2', 'was_pushed_by', 'monkey_1']]"
78,A squirrel runs around in circles.,A squirrel is moving in circles.,"[['squirrel', 'runs_around', 'circles']]","[['squirrel', 'moves', 'circles']]"
79,A man is tying his shoe.,A man ties his shoe.,"[['a_man', 'is_tying', 'his_shoe']]","[['a_man', 'ties', 'his_shoe']]"
80,A boy is singing and playing the piano.,A boy is playing the piano.,"[['A boy', 'singing', 'true'], ['A boy', 'playing_instrument', 'piano']]","[['A boy', 'playing_instrument', 'piano']]"
81,A dog is eating water melon.,A dog is eating a piece of watermelon.,"[['dog', 'is_eating', 'watermelon'], ['watermelon', 'is_a', 'fruit']]","[['dog', 'is_eating', 'piece_of_watermelon'], ['piece_of_watermelon', 'is_a', 'watermelon']]"
82,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,"[['woman', 'chops', 'broccoli']]","[['woman', 'chops', 'broccoli'], ['woman', 'uses', 'knife']]"
83,A man is peeling a potato.,A man peeled a potatoe.,"[['a_man', 'peeled', 'potato']]","[['a_man', 'peeled', 'potatoe']]"
84,A woman is playing a guitar.,A man plays a guitar.,"[['woman', 'plays', 'guitar']]","[['man', 'plays', 'guitar']]"
85,A woman is slicing tomato.,A man is slicing onion.,"[['woman', 'performs_action', 'slicing_tomato'], ['tomato', 'is_type_of', 'fruit'], ['fruit', 'is_type_of', 'food']]","[['man', 'performs_action', 'slicing_onion'], ['onion', 'is_type_of', 'vegetable'], ['vegetable', 'is_type_of', 'food']]"
86,A man swims underwater.,A woman is swimming underwater.,"[['man', 'swims', 'underwater'], ['man', 'is_a', 'human'], ['human', 'can_perform', 'swimming'], ['swimming', 'occurs_in', 'water'], ['water', 'is_a', 'liquid']]","[['woman', 'swims', 'underwater'], ['woman', 'is_a', 'human'], ['human', 'can_perform', 'swimming'], ['swimming', 'occurs_in', 'water'], ['water', 'is_a', 'liquid']]"
87,A man and woman are talking.,A man and woman is eating.,"[['man', 'is_associated_with', 'talking'], ['woman', 'is_associated_with', 'talking'], ['man', 'is_associated_with', 'woman']]","[['man', 'is_associated_with', 'woman'], ['man', 'is_associated_with', 'eating'], ['woman', 'is_associated_with', 'eating']]"
88,A small dog is chasing a yoga ball.,A dog is chasing a ball.,"[['small dog', 'is_type_of', 'dog'], ['dog', 'is_playing_with', 'yoga_ball'], ['yoga_ball', 'is_type_of', 'ball']]","[['dog', 'is_playing_with', 'ball']]"
89,The men are playing cricket.,The men are playing basketball.,"[['men', 'play', 'cricket']]","[['men', 'play', 'basketball']]"
90,A man rides off on a motorcycle.,A man is riding on a motorcycle.,"[['a_man', 'rides_on', 'motorcycle']]","[['a_man', 'is_riding_on', 'motorcycle']]"
91,A man is playing a guitar.,A man is singing and playing a guitar.,"[['a_man', 'plays', 'guitar']]","[['a_man', 'plays', 'guitar']]"
92,The man talked on the telephone.,The man is talking on the phone.,"[['man', 'talked_on', 'telephone']]","[['man', 'talking_on', 'phone']]"
93,A man is fishing.,A man is exercising.,"[['a_man', 'is_engaged_in', 'fishing']]","[['a_man', 'is_engaged_in', 'exercising']]"
94,A man is levitating.,A man is talking.,"[['a_man', 'levitates', 'None']]","[['a_man', 'speaks', 'None']]"
95,Two boys are driving.,Two bays are dancing.,"[['Two boys', 'are', 'driving']]","[['Two bays', 'are', 'dancing']]"
96,A man is riding on a horse.,A girl is riding a horse.,"[['man', 'is riding on', 'horse'], ['man', 'is_a', 'person'], ['person', 'can_ride', 'horse'], ['horse', 'is_a', 'animal']]","[['girl', 'is riding on', 'horse'], ['girl', 'is_a', 'person'], ['person', 'can_ride', 'horse'], ['horse', 'is_a', 'animal']]"
97,A man is riding a bicycle.,A monkey is riding a bike.,"[['a_man', 'is_riding', 'bicycle']]","[['a_monkey', 'is_riding', 'bicycle']]"
98,A man is slicing potatoes.,A woman is peeling potato.,"[['a_man', 'is_performing', 'potato_slicing'], ['potato_slicing', 'action_performed_on', 'potatoes']]","[['a_woman', 'is_performing', 'potato_peeling'], ['potato_peeling', 'action_performed_on', 'potatoes']]"
99,A woman is peeling a potato.,A man is slicing potato.,"[['woman', 'performs_action', 'peels_potato'], ['potato', 'is_type_of', 'food'], ['potato', 'is_type_of', 'vegetable']]","[['man', 'performs_action', 'slices_potato'], ['potato', 'is_type_of', 'food'], ['potato', 'is_type_of', 'vegetable']]"
100,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,[],[]
101,Micron has declared its first quarterly profit for three years.,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.,"[['Micron', 'declared', 'first quarterly profit'], ['Micron', 'type', 'DRAM manufacturer'], ['first quarterly profit', 'occurred in', 'three years']]","[['Micron', 'marked', 'first quarterly profit'], ['Micron', 'type', 'DRAM manufacturer'], ['first quarterly profit', 'occurred in', 'three years']]"
102,The fines are part of failed Republican efforts to force or entice the Democrats to return.,"Perry said he backs the Senate's efforts, including the fines, to force the Democrats to return.","[['Republicans', 'made_efforts', 'forced_or_enticed_Democrats'], ['fines', 'used_as', 'Republican_efforts'], ['fines', 'part_of', 'Republican_efforts']]","[['Perry', 'backs', ""Senate's_efforts""], [""Senate's_efforts"", 'includes', 'fines'], ['Perry', 'supports', ""Senate's_efforts""]]"
103,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.","[['American Anglican Council', 'represents', 'Episcopalian conservatives'], ['American Anglican Council', 'will seek', 'authorization'], ['American Anglican Council', 'will seek', 'creation of a separate group']]","[['American Anglican Council', 'represents', 'Episcopalian conservatives'], ['American Anglican Council', 'will seek', 'authorization'], ['American Anglican Council', 'will seek', 'creation of a separate province'], ['American Anglican Council', 'will seek', 'authorization to create a separate province'], ['American Anglican Council', 'actions', 'last week']]"
104,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.","[['Nasdaq composite', 'rose', '20.96 points'], ['Nasdaq composite', 'ended_at', '1595.91'], ['Nasdaq composite', 'highest_level_for', '12 months']]","[['Nasdaq Composite Index', 'climbed', '19.11 points'], ['Nasdaq Composite Index', 'increased_by', '1.2 percent'], ['Nasdaq Composite Index', 'ended_at', '1,615.02']]"
105,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,"[['Amgen', 'gained', '93 cents'], ['Amgen', 'gained_percentage', '1.45%'], ['Amgen', 'trading_price', '65.05'], ['Amgen', 'trading_location', 'Nasdaq']]","[['Allergan', 'was_up', '14 cents'], ['Allergan', 'trading_price', '78.40'], ['Allergan', 'trading_location', 'New York Stock Exchange']]"
106,U.S. prosecutors have arrested more than 130 individuals and have seized more than $17 million in a continuing crackdown on Internet fraud and abuse.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.,"[['US prosecutors', 'arrested', 'more than 130 individuals'], ['more than 130 individuals', 'seized', 'more than $17 million'], ['Internet fraud and abuse', 'targeted', 'US prosecutors']]","[['three U.S. government agencies', 'announced', 'Internet fraud sweep'], ['Internet fraud sweep', 'resulted in', 'more than 130 arrests'], ['more than 130 arrests', 'resulted in', 'seizure of more than $17 million'], ['Internet fraud and abuse', 'targeted', 'three U.S. government agencies']]"
107,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""","[['Albuquerque Mayor Martin Chavez', 'said', 'investigators felt confident'], ['investigators felt confident', 'that', ""they had 'at least one of the fires resolved'""]]","[['Albuquerque Mayor Martin Chavez', 'said', 'investigators felt confident'], ['investigators felt confident', 'that', ""they had 'at least one of the fires resolved'""]]"
108,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.","[['scientist', 'developed_symptoms', 'SARS'], ['scientist', 'quarantined_himself', 'home']]","[['scientist', 'developed_symptoms', 'SARS'], ['scientist', 'quarantined_himself', 'home']]"
109,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,"[['current customers that have support contracts', 'receive', 'WebVPN software upgrade'], ['WebVPN software upgrade', 'type', 'free software upgrade']]","[['current customers with SmarNet support', 'receive', 'free software upgrade'], ['free software upgrade', 'available_from', 'January 2004']]"
110,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,"[['man', 'accused_of', 'using_fake_grenades'], ['man', 'sentenced_to', '20_years_in_prison'], ['man', 'landed_plane_in', 'Key_West'], ['man', 'landed_plane_in_month_of', 'April'], ['using_fake_grenades', 'resulted_in', 'commandeering_plane'], ['commandeering_plane', 'landed_in', 'Key_West'], ['commandeering_plane', 'origin', 'Cuba']]","[['Cuban_architect', 'sentenced_to', '20_years_in_prison'], ['Cuban_architect', 'used_fake_grenades_to', 'hijack_plane'], ['Cuban_architect', 'hijacked_plane_from', 'Cuba'], ['Cuban_architect', 'hijacked_plane_to', 'Florida'], ['Cuban_architect', 'landed_plane_in_month_of', 'April']]"
111,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.","[['Jim Williams', 'is_director_of', 'US-VISIT project'], ['US-VISIT project', 'involved_in', 'fingerprinting'], ['US-VISIT project', 'involved_in', 'photographing'], ['many arriving passengers', 'undergo', 'fingerprinting'], ['many arriving passengers', 'undergo', 'photography'], ['Atlanta', 'location_of', 'fingerprinting_and_photography']]","[['Jim Williams', 'is_director_of', 'US-VISIT project'], ['US-VISIT project', 'responsible_for', 'inspectors'], ['inspectors', 'perform', 'fingerprinting'], ['inspectors', 'perform', 'photography'], ['foreign passengers', 'target_group_of', 'fingerprinting_and_photography'], ['Atlanta', 'location_of', 'fingerprinting_and_photography']]"
112,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,"[['hearing', 'occurred_on_day_after', 'Pentagon singled_out_officer'], ['Pentagon singled_out_officer', 'singled_out', 'Dallager'], ['Dallager', 'failed_to_address', 'scandal']]","[['hearing', 'occurred_on_day_after', 'Pentagon singled_out_officer'], ['Pentagon singled_out_officer', 'singled_out', 'Dallager'], ['Dallager', 'failed_to_address', 'scandal']]"
