id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
10,"Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","high correlation between half dose and full dose showed Postcontrast synovial SIs, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","[[""Postcontrast_synovial_SIs"", ""showed"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""synovitis"", ""related_to"", ""early_RA""], [""tenosynovitis"", ""related_to"", ""early_RA""]]","[[""Postcontrast_synovial_SIs"", ""showed"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""synovitis"", ""related_to"", ""early_RA""], [""tenosynovitis"", ""related_to"", ""early_RA""]]",0.9999999421505044
11,"Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.",Our results suggest a protective effect of breast-feeding among children with a family history of atopy that is not confined to the period of breast-feeding but continues during the first three years of life. Breast-feeding should be promoted in children with a family history of atopy.,"[[""half_dose_gadobenate_dimeglumine"", ""correlated_with"", ""full_dose_gadobenate_dimeglumine""], [""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_in"", ""early_RA""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""]]","[[""breast-feeding"", ""has"", ""protective_effect""], [""breast-feeding"", ""benefits"", ""children_with_family_history_of_atopy""], [""protective_effect_of_breast-feeding"", ""continues_during"", ""first_three_years_of_life""], [""breast-feeding"", ""should_be_promoted"", ""children_with_family_history_of_atopy""]]",0.07056140702222535
12,"Most students do not encounter all 10 conditions during patient encounters throughout a 4-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","all 10 conditions during individual encounters were encountered by the majority of students. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","[[""students"", ""do_not_encounter"", ""all_10_conditions""], [""students"", ""encounter"", ""at_least_eight_conditions""], [""10_conditions"", ""not_encountered_during"", ""4-week_EM_rotation""], [""certain_conditions"", ""less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""]]","[[""majority_of_students"", ""encountered"", ""all_10_conditions""], [""certain_conditions"", ""less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""], [""students"", ""have"", ""individual_encounters""]]",0.7975265167684259
13,"Most students do not encounter all 10 conditions during patient encounters throughout a 4-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","Most students do not encounter all 15 conditions during patient encounters throughout a 6-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","[[""students"", ""encounter"", ""less_than_10_conditions""], [""students"", ""part_of"", ""4_week_EM_rotation""], [""4_week_EM_rotation"", ""includes"", ""patient_encounters""], [""patient_encounters"", ""expose_to"", ""at_least_8_conditions""], [""certain_conditions"", ""less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""]]","[[""students"", ""encounter"", ""less_than_15_conditions""], [""students"", ""part_of"", ""6_week_EM_rotation""], [""6_week_EM_rotation"", ""includes"", ""patient_encounters""], [""patient_encounters"", ""expose_to"", ""at_least_8_conditions""], [""certain_conditions"", ""less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""]]",0.9944832682914841
14,"Most students do not encounter all 10 conditions during patient encounters throughout a 4-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","all 10 conditions during patient encounters do not encounter Most students throughout a 4-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","[[""students"", ""do_not_encounter"", ""all_10_conditions""], [""students"", ""have_exposure_to"", ""at_least_8_conditions""], [""4-week_EM_rotation"", ""includes"", ""patient_encounters""], [""certain_conditions"", ""are_less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""]]","[[""students"", ""do_not_encounter"", ""all_10_conditions""], [""students"", ""have_exposure_to"", ""at_least_8_conditions""], [""4-week_EM_rotation"", ""includes"", ""patient_encounters""], [""certain_conditions"", ""are_less_likely_to_be_encountered"", ""than_others""], [""certain_conditions"", ""may_need_to_be_taught_in"", ""nonclinical_setting""]]",0.999999999227464
15,"Most students do not encounter all 10 conditions during patient encounters throughout a 4-week EM rotation, although most have exposure to at least eight. Certain conditions are far less likely than others to be encountered, and may need to be taught in a nonclinical setting.","Progression of a pT3 tumour into the renal vein and vena cava is not associated with increased tumour expression of VEGF. However, VEGF is an independent prognostic factor in this group of poor prognosis renal tumours.","[[""students"", ""do_not_encounter"", ""all_10_emergent_clinical_conditions""], [""students"", ""encounter"", ""at_least_eight_emergent_clinical_conditions""], [""emergent_clinical_conditions"", ""encountered_during"", ""patient_encounters""], [""patient_encounters"", ""occur_during"", ""4-week_EM_rotation""], [""certain_emergent_clinical_conditions"", ""less_likely_to_be_encountered"", ""than_others""], [""less_likely_emergent_clinical_conditions"", ""taught_in"", ""nonclinical_setting""]]","[[""pT3_tumour"", ""progresses_into"", ""renal_vein""], [""pT3_tumour"", ""progresses_into"", ""vena_cava""], [""progression_of_pT3_tumour"", ""not_associated_with"", ""increased_tumour_expression_of_VEGF""], [""VEGF"", ""independent_prognostic_factor"", ""poor_prognosis_renal_tumours""], [""poor_prognosis_renal_tumours"", ""group_of"", ""renal_tumours""]]",0.15339462084876007
16,"Knowledge of US-EFW, above and beyond the impact of fetal size itself, increases the risk of CD. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","the probability of CD was increased by Knowledge of US-EFW, above and beyond the impact of fetal size itself. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","[[""knowledge_of_US-EFW"", ""increases"", ""risk_of_CD""], [""US-EFW"", ""impact"", ""fetal_size""], [""knowledge_of_US-EFW"", ""above"", ""fetal_size""], [""acquisition_of_US-EFW"", ""near_term"", ""term""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""]]","[[""probability_of_CD"", ""increased_by"", ""knowledge_of_US-EFW""], [""knowledge_of_US-EFW"", ""above"", ""fetal_size""], [""fetal_size"", ""impact_on"", ""CD""], [""acquisition_of_US-EFW"", ""near_term"", ""term""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""]]",0.8495703049785717
17,"Knowledge of US-EFW, above and beyond the impact of fetal size itself, increases the risk of CD. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","Knowledge of US-CAT, above and beyond the impact of fetal size itself, increases the risk of CD. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","[[""knowledge_of_US-EFW"", ""increases"", ""risk_of_CD""], [""US-EFW"", ""acquired_near"", ""term""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""], [""fetal_size"", ""impact_on"", ""CD""]]","[[""knowledge_of_US-CAT"", ""increases"", ""risk_of_CD""], [""US-CAT"", ""compared_to"", ""US-EFW""], [""US-EFW"", ""acquired_near"", ""term""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""], [""fetal_size"", ""impact_on"", ""CD""]]",0.9957529028798562
18,"Knowledge of US-EFW, above and beyond the impact of fetal size itself, increases the risk of CD. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","the risk of CD, increases Knowledge of US-EFW, above and beyond the impact of fetal size itself. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.","[[""knowledge_of_US-EFW"", ""increases"", ""risk_of_CD""], [""fetal_size"", ""impact_on"", ""risk_of_CD""], [""knowledge_of_US-EFW"", ""acquired_near_term"", ""US-EFW""], [""US-EFW"", ""potential_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""]]","[[""risk_of_CD"", ""increases"", ""knowledge_of_US-EFW""], [""knowledge_of_US-EFW"", ""above_and_beyond"", ""fetal_size""], [""fetal_size"", ""impact_on"", ""risk_of_CD""], [""acquisition_of_US-EFW"", ""independent_risk_factor_for"", ""CD""], [""acquisition_of_US-EFW"", ""potentially_modifiable_risk_factor_for"", ""CD""], [""US-EFW"", ""acquired_near_term"", ""US-EFW""], [""US-EFW"", ""potential_risk_factor_for"", ""CD""]]",0.7883502798686093
19,"Knowledge of US-EFW, above and beyond the impact of fetal size itself, increases the risk of CD. Acquisition of US-EFW near term appears to be an independent and potentially modifiable risk factor for CD.",2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,"[[""knowledge_of_US-EFW"", ""increases"", ""risk_of_CD""], [""US-EFW"", ""acquired_near"", ""term""], [""acquisition_of_US-EFW_near_term"", ""risk_factor_for"", ""CD""], [""fetal_size"", ""impact_on"", ""CD""], [""knowledge_of_US-EFW"", ""beyond"", ""fetal_size""]]","[[""2ME"", ""enhances"", ""antiproliferative_activity""], [""2ME"", ""combined_with"", ""chemotherapeutics""], [""chemotherapeutics"", ""treat"", ""hormone-dependent_cancer""], [""phase_II_trial"", ""for"", ""refractary_metastatic_breast_cancer""], [""2ME"", ""shows"", ""good_tolerability""], [""2ME_and_chemotherapeutics"", ""offer"", ""new_treatment_regimen""], [""new_treatment_regimen"", ""for"", ""hormone-dependent_cancer""], [""2ME"", ""is"", ""estradiol_metabolite""]]",0.1511938550791184
20,The addition of epinephrine to ACLS-SAPO increases vital organ perfusion pressures and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,vital organ perfusion pressures were increased by The addition of epinephrine to ACLS-SAPO. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,"[[""Addition_of_epinephrine_to_ACLS_SAPO"", ""increases"", ""vital_organ_perfusion_pressures""], [""Addition_of_epinephrine_to_ACLS_SAPO"", ""improves"", ""outcome_from_cardiac_arrest""], [""Prolonged_cardiac_arrest"", ""results_in"", ""loss_of_arterial_vasomotor_tone""], [""Loss_of_arterial_vasomotor_tone"", ""makes_necessary"", ""exogenous_pressors_for_resuscitation""]]","[[""Addition_of_epinephrine_to_ACLS_SAPO"", ""increases"", ""vital_organ_perfusion_pressures""], [""Prolonged_cardiac_arrest"", ""results_in"", ""loss_of_arterial_vasomotor_tone""], [""Loss_of_arterial_vasomotor_tone"", ""makes_necessary"", ""exogenous_pressors_for_resuscitation""]]",0.8714525782238662
21,The addition of epinephrine to ACLS-SAPO increases vital organ perfusion pressures and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,The addition of epinephrine to NADPH-SAPO increases vital organ perfusion pressures and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,"[[""Addition_of_epinephrine_to_ACLSSAPO"", ""increases"", ""vital_organ_perfusion_pressures""], [""Addition_of_epinephrine_to_ACLSSAPO"", ""improves"", ""outcome_from_cardiac_arrest""], [""Prolonged_cardiac_arrest"", ""results_in"", ""loss_of_arterial_vasomotor_tone""], [""Loss_of_arterial_vasomotor_tone"", ""makes_necessary"", ""exogenous_pressors_for_resuscitation""], [""Exogenous_pressors"", ""necessary_for"", ""resuscitation_after_prolonged_cardiac_arrest""]]","[[""Addition_of_epinephrine_to_NADPH_SAPO"", ""increases"", ""vital_organ_perfusion_pressures""], [""Addition_of_epinephrine_to_NADPH_SAPO"", ""improves"", ""outcome_from_cardiac_arrest""], [""Prolonged_cardiac_arrest"", ""results_in"", ""loss_of_arterial_vasomotor_tone""], [""Loss_of_arterial_vasomotor_tone"", ""makes_necessary"", ""exogenous_pressors_for_resuscitation""], [""Exogenous_pressors"", ""necessary_for"", ""resuscitation_after_prolonged_cardiac_arrest""]]",0.9783129795507299
