row_id,sentence1,sentence2,kg1,kg2,aa_kea_similarity
12,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,"[['Pentagon','singledOut', 'Dallager']]","[['Pentagon','singledOutOfficer', 'Dallager']]",1.0
13,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.","[['Episcopal_Church', 'action', 'alienate_itself'], ['Anglican_Communion','relationship', 'part_of'], ['Anglican_Communion', 'type', 'Christian_denomination'], ['Episcopal_Church','relationship', 'part_of'], ['Episcopal_Church', 'type', 'Christian_denomination'], ['Very_Rev._Peter_Karanja', 'title', 'provost'], ['Very_Rev._Peter_Karanja', 'affiliation', 'All_Saints_Cathedral'], ['All_Saints_Cathedral', 'location', 'Nairobi']]","[['All_Saints_Cathedral', 'location', 'Nairobi'], ['All_Saints_Cathedral', 'provost', 'The_Very_Reverend_Peter_Karanja'], ['The_Very_Reverend_Peter_Karanja','said', 'US_Episcopal_Church_is_alienating_itself'], ['US_Episcopal_Church', 'from', 'Anglican_Communion']]",0.46770717334674267
14,"Counties with population declines will be Vermillion, Posey and Madison.","Vermillion, Posey and Madison County populations will decline.","[['Vermillion', 'populationChange', 'decline'], ['Posey', 'populationChange', 'decline'], ['Madison', 'populationChange', 'decline']]","[['Vermillion', 'population', 'decline'], ['Posey', 'population', 'decline'], ['Madison_County', 'population', 'decline']]",1.0
15,"Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.","Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.","[['Swartz', 'indicted', 'February']]","[['Swartz', 'location', 'New_Hampshire']]
['Swartz', 'wantedAction', 'dismiss_charges']",0.0
16,"The last time the survey was conducted, in 1995, those numbers matched.","In 1995, the last survey, those numbers were equal.",[],[],0.0
17,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,"[['constitutional_separation_of_church_and_state', 'violated', 'higher_courts']]","[['monument', 'violates', 'constitutional_ban'], ['constitutional_ban', 'against','state-established_religion'], ['monument', 'establishedBy','state']]",0.0
18,They were at Raffles Hospital over the weekend for further evaluation.,"They underwent more tests over the weekend, and are now warded at Raffles Hospital.","[['Raffles_Hospital', 'type', 'Hospital'], ['They', 'wereAt', 'Raffles_Hospital'], ['Raffles_Hospital', 'time', 'Weekend']]","[['They', 'are_warded_at', 'Raffles_Hospital']]",0.11785113019775793
19,"When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.","[['Casa_de_España', 'event', 'explosion'], ['Casa_de_España', 'customers', 'People'], ['People', 'activity', 'eating_dinner'], ['People', 'activity', 'playing_bingo']]","[['Casa_de_Espana', 'activity', 'dinner_and_bingo'], ['Casa_de_Espana', 'event', 'bomb_explosion']]",0.5594309277855158
20,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.","[['Plofsky','said', 'commission']]
[['commission', 'won\'t_investigate', None]]
[['commission','statute_of_limitations', '3-years']]","[['Plofsky','said', 'The_panel']]
['The_panel', 'action', 'not_begin_formal_investigation']
['The_panel','reason','statute_of_limitations_expired']",0.0
21,"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,"[['he','sendsOut', 'Peace_Rules'], ['Peace_Rules', 'event', 'Preakness']]","[['Peace_Rules', 'race', 'Preakness_Stakes'], ['Preakness_Stakes', 'date', 'May_17']]",0.816496580927726
22,"If convicted of the spying charges, he could face the death penalty.",The charges of espionage and aiding the enemy can carry the death penalty.,"[['he', 'allegation','spying\_charges'], ['spying\_charges', 'penalty', 'death\_penalty']]","[['espionage', 'carriesPenalty', 'death_penalty'], ['aiding_the_enemy', 'carriesPenalty', 'death_penalty']]",0.408248290463863
23,"The technology-laced Nasdaq Composite Index was up 7.60 points, or 0.46 percent, at 1,653.62.","The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.","[['Nasdaq_Composite_Index', 'changeInPoints', '7.60'], ['Nasdaq_Composite_Index', 'percentageChange', '0.46'], ['Nasdaq_Composite_Index', 'value', '1,653.62']]","[['Standard\_&\_Poors\_500\_Index','shedPoints', '2.38'], ['Standard\_&\_Poors\_500\_Index', 'percentChange', '-0.24'], ['Standard\_&\_Poors\_500\_Index', 'value', '995.10']]",0.28867513459481287
24,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,"[['Hilsenrath', 'indictedOn', '3 (counts_of_securities_fraud)'], ['Klarman', 'indictedOn', '3 (counts_of_securities_fraud)']]","[['Klarman', 'wasChargedWith', '16 (counts_of_wire_fraud)']]",0.13608276348795434
25,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""","[['Entrenched_interests', 'lobbying', 'FCC'], ['FCC', 'role', 'Regulator']]","[['Internet', 'issue', 'dying'], ['Entrenched_interests', 'action', 'positioning'], ['Entrenched_interests', 'goal', 'control_Internet_chokepoints'], ['FCC', 'role', 'aid_and_abet'], ['FCC', 'entity', 'Government_agency']]",0.09622504486493763
26,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.,"[['Episcopalians','religion', 'Church_members_and_observers'], ['Episcopalians', 'expectation', 'problematic_decision']]","[['Episcopalians', 'belief', 'Bible_prohibits_homosexuality'], ['some_Episcopalians', 'issue', 'doctrinal_problems']]",0.12909944487358055
27,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.,"Steve Squyres, a Cornell University scientist, is principal investigator for the missions' science instruments.","[['Squyres', 'role', 'principal_investigator'], ['Squyres', 'payload', 'Athena']]","[['Steve_Squyres', 'affiliation', 'Cornell_University'], ['Steve_Squyres', 'role', 'principal_investigator'], ['Steve_Squyres', 'for','missions'], ['missions','science_instruments', '']]",0.3888888888888889
28,"The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.","The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.","[['Rebels', 'numberKilled', '12'], ['Soldiers', 'numberWounded', '6'], ['Rebels', 'numberCaptured', '9']]","[['Rebels', 'numberKilled', '16'], ['Rebels', 'captured', '9'], ['Soldiers', 'numberKilled', '1'], ['Soldiers', 'numberWounded', '6']]",0.4844813951249544
29,The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.","[['CANARY', 'function', 'cellular_analysis_and_notification_of_antigen_risks_and_yields'], ['CANARY', 'dubbedAs', 'cellular_analysis_and_notification_of_antigen_risks_and_yields']]","[['Canary', 'function', 'cellular_analysis'], ['Canary', 'function', 'antigen_risks_notification'], ['Canary', 'type','sensor']]",1.0
30,Express Scripts ESRX.O shares fell 3.6 percent to close at $66.89 on the Nasdaq.,Shares of Express Scripts ESRX.O fell about 4 percent to $66.73 on the Nasdaq in late morning trade.,"[['Express_Scripts_ESRX.O','stockPrice', '66.89'], ['Express_Scripts_ESRX.O','stockExchange', 'Nasdaq'], ['Express_Scripts_ESRX.O', 'percentChange', '-3.6']]","[['Express_Scripts','stockPrice', '66.73'], ['Express_Scripts','stockExchange', 'Nasdaq']]",0.6254627916220946
31,"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","[['Sgt. Ernest Bucklew', 'age', '33'], ['Sgt. Ernest Bucklew', 'location', 'Fort Carson'], ['Sgt. Ernest Bucklew', 'destination', 'Pennsylvania']]","[['Sgt.\_Ernest\_Bucklew', 'age', '33'], ['Sgt.\_Ernest\_Bucklew', 'country', 'Iraq'], ['Sgt.\_Ernest\_Bucklew', 'origin', 'Pennsylvania'], ['Pennsylvania', 'country', 'United\_States']]",0.6254627916220946
32,Police launched an international hunt for Shevaun Pennington after she ran away with 31-year-old Toby Studabaker Saturday.,Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.,"[['Shevaun_Pennington', 'ranAwayWith', 'Toby_Studabaker'], ['Toby_Studabaker', 'age', '31'], ['Shevaun_Pennington', 'launchedInvestigation', 'Police']]","[['Shevaun_Pennington', 'disappeared', 'Saturday_morning'], ['Shevaun_Pennington', 'arrangedMeetingWith', 'Toby_Studabaker']]",0.09622504486493763
33,"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","While federal prosecutors refuse to discuss the investigation, lawyers and others familiar with it say it remains focused on Campbell.","[['Campbell', 'focusOfInvestigation', 'federal_investigation']]","[['Campbell', 'focusOfInvestigation', 'Federal_prosecutors']]",1.0
34,"The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","[['.DJI', 'changeInPoints', '-58.69'], ['Dow_Jones_industrial_average', 'value', '9137.86'], ['Dow_Jones_industrial_average', 'percentChange', '-0.64']]","[['.DJI', 'decreased', '9109.99'], ['.DJI', 'decreaseAmount', '86.56'], ['.DJI', 'percentageDecrease', '0.94']]",0.5984437489312764
35,Peace Rules defeated Funny Cide in the Louisiana Derby.,But neither he nor Peace Rules could keep Funny Cide from drawing away.,"[['Peace_Rules', 'defeated', 'Funny_Cide']]",[],0.0
36,Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.","[['Waksal', 'crime', 'Securities_fraud']]","[['Waksal', 'crime', 'Insider_trading'], ['Waksal','sentenceDate', 'June\_10']]",0.08333333333333333
37,He allowed two runs in seven innings and struck out six.,Zambrano pitched seven innings and allowed two runs on five hits and four walks.,"[['He', 'allowedRuns', '2'], ['He','strikesOut', '6'], ['He', 'inningsPitched', '7']]","[['Zambrano', 'pitched', '7\_innings'], ['Zambrano', 'allowedRuns', '2'], ['Zambrano', 'allowedHits', '5'], ['Zambrano', 'allowedWalks', '4']]",0.28867513459481287
38,"Still, he said, ""I'm absolutely confident we're going to have a bill.""","""I'm absolutely confident we're going to have a bill,"" Frist, R-Tenn., said Thursday.",[],"[['Frist', 'confidence', 'bill']]",0.0
39,Boeing said the final agreement is expected to be signed during the next few weeks.,"The Korean Air deal is expected to be finalized ""in the next several weeks,"" Boeing spokesman Bob Saling said.","[['Boeing', 'expectedAction','sign_agreement']]","[['Boeing','spokesman', 'Bob_Saling'], ['Korean_Air_deal', 'expectedCompletion', 'next_few_weeks'], ['Boeing', 'hasDealWith', 'Korean_Air']]",0.08333333333333333
40,"Shares in EDS closed on Thursday at $18.51, a gain of 6 cents.","Shares of EDS closed Thursday at $18.51, up 6 cents on the New York Stock Exchange.","[['EDS', 'closingPrice', '18.51'], ['EDS', 'priceChange', '0.06']]","[['EDS', 'closingPrice', '18.51'], ['EDS', 'exchange', 'New_York_Stock_Exchange'], ['EDS', 'priceChange', '0.06']]",1.0
41,"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.","[['CDC','recordedCases', '4156'], ['CDC','recordedDeaths', '284'], ['West_Nile', 'numberOfCases', '4156'], ['West_Nile', 'numberOfDeaths', '284'], ['CDC', 'type', 'Federal_agency']]","[['Indiana', 'humanCasesWestNile', '293'], ['Indiana', 'deaths', '11']]",0.0
42,A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.","[['Supreme_Court', 'ruled', 'Monday'], ['Supreme_Court', 'canForce', 'Congress'], ['Congress', 'canDo', 'equip_nation_public_libraries'], ['nation_public_libraries','mustEquipWith', 'anti-pornography_filters']]","[['Supreme_Court','said', 'Monday'], ['Government', 'canRequire', 'public_libraries'], ['public_libraries', 'toEquip', 'computers'], ['computers', 'with', 'anti-pornography_filters'], ['Supreme_Court','rejected', 'librarians'], ['librarians', 'complaints', 'amountsTo', 'censorship']]",0.5407380704358752
43,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.,The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.,"[['VBA', 'behavior', 'weakness'], ['weakness','regards', 'properties_of_documents'], ['documents', 'action', 'passed_to_VBA_on_opening']]","[['Microsoft', 'product', 'Visual_Basic_for_Applications'], ['Microsoft', 'action', 'checks_document_properties'], ['Visual_Basic_for_Applications','receives', 'document_properties'], ['document_properties', 'issue', 'vulnerability']]",0.06666666666666667
44,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.","Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.","[['Studdard', 'percentageOfVotes', '50.28'], ['Studdard', 'numberOfVotes', '12064000'], ['Aiken', 'numberOfVotes', '10764000']]","[['Studdard', 'votes', '24000000'], ['Aiken', 'votes', '23870000'], ['Studdard', 'leadOver', 'Aiken'], ['Units', 'type', 'phone_votes']]",0.29814239699997197
45,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.","[['Consumers', 'need', 'descrambling_security_card'], ['descrambling_security_card', 'issuer', 'cable_operator']]","[['Consumer', 'action', 'watch_pay_television'], ['Consumer', 'needs','security_card'], ['security_card', 'provider', 'cable_service']]",1.0
46,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".","However, we have decided to opt for the European consortium's engine as the best overall solution.""","[['European_consortium','solutionChosen', 'Best_overall_solution'], ['European_consortium', 'priceEfforts', 'Substantial']]",[],0.0
47,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.","[['ImClone', 'applicationRejectedBy', 'Food\_and\_Drug\_Administration'], ['Food\_and\_Drug\_Administration','reasonForRejection', 'Shoddy\_research'], ['ImClone', 'drug', 'Erbitux']]","[['ImClone', 'applicationRejectedBy', 'U.S._Food\_and\_Drug\_Administration'], ['U.S._Food\_and\_Drug\_Administration','reasonForRejection', 'Sloppily\_conducted\_trial'], ['ImClone', 'applicationMonth', 'December\_2001']]",0.09622504486493763
48,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.","[['James_Sensenbrenner', 'role', 'House_Judiciary_Committee_Chairman'], ['James_Sensenbrenner', 'politicalParty', 'Republican'], ['Critics', 'action', 'violate_civil_liberties']]","[['James_Sensenbrenner', 'profession', 'House_Judiciary_Committee_Chairman'], ['James_Sensenbrenner', 'politicalParty', 'R-Wis.']]",0.30123203803835463
49,"The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.","The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.","[['Dodgers', 'winStreak', '6'], ['Dodgers', 'wonGame', 'Colorado'], ['Colorado', 'lostGame', 'Dodgers'], ['Dodgers', 'attendance', '25332'], ['Dodgers', 'location', 'Dodger_Stadium']]","[['Dodgers', 'won', '6'], ['Dodgers', 'won', '7'], ['Dodgers', 'beated', 'Colorado'], ['Colorado', 'lost', '3-2'], ['Dodgers', 'numberOfSpectators', '25332'], ['Dodgers', 'location', 'Dodger_Stadium']]",1.0
50,"So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.","[['Pennsylvania','state', '_'], ['Ohio','state', '_'], ['Michigan','state', '_'], ['Illinois','state', '_'], ['Indiana','state', '_'], ['authorities', 'locatedIn', '_']]","[['Pennsylvania', 'location', 'Areas_searched'], ['Ohio', 'location', 'Areas_searched'], ['Indiana', 'location', 'Areas_searched'], ['Michigan', 'location', 'Areas_searched'], ['Authorities', 'action', 'Searched_areas']]",0.47619047619047616
51,"The 30-year bond US30YT=RR firmed 31/32, taking its yield to 4.16 percent -- another record low -- from 4.22 percent.","The 30-year bond <US30YT=RR> firmed 24/32, taking its yield to 4.18 percent, after hitting another record low of 4.16 percent.","[['US30YT=RR', 'yield', '4.16'], ['US30YT=RR', 'previousYield', '4.22']]","[['US30YT=RR', 'yield', '4.18'], ['US30YT=RR','recordLowYield', '4.16']]",1.0
52,"On Thursday, a Washington Post article argued that a 50 basis point cut from the Fed was more likely, contrary to the Wall Street Journal's line.","On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.","[['Fed', 'action', '50_basis_point_cut'], ['Washington_Post', 'published', 'Thursday'], ['Wall_Street_Journal', 'position', 'contrary_to_Fed_cut'], ['Fed','moreLikelyAction', '50_basis_point_cut']]","[['Fed', 'action', '50_basis_point_cut'], ['Fed', 'day', 'Thursday']]",0.510688230856951
53,"Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.",Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.,"[['Mr. Heatley', 'injury', ['broken jaw', 'torn knee ligaments']], ['Mr. Heatley', 'facesCharges','several']]","[['Heatley', 'injury', 'broken_jaw'], ['Heatley', 'injury', 'torn_ligaments'], ['Heatley', 'injuryLocation', 'right_knee'], ['Heatley', 'underwent','surgery']]",0.0
54,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,"Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.","[['Lay', 'rightsViolated', 'Fifth_Amendment'], ['Fifth_Amendment', 'right', 'Self-incrimination']]","[['Lay', 'right', 'Fifth_Amendment_right_against_self-incrimination'], ['Lay', 'action','refused_to_turn_over_papers']]",0.5809475019311126
55,Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.,"In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.","[['Strayhorn', 'firstName', 'Strayhorn'], ['Strayhorn', 'role', 'Comptroller'], ['Texas_history', 'event', 'first_time_comptroller_did_not_certify_appropriations_act'], ['Strayhorn', 'action', 'did_not_certify_appropriations_act']]","[['Strayhorn', 'action','rejected_a_budget'], ['Strayhorn', 'type', 'Comptroller']]",0.30123203803835463
56,"Excluding the charges, analysts, on average, expected a loss of 11 cents a share.",Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.,"[['Analysts', 'expectedLossPerShare', '11 (cents)']]","[['Thomson_Financial_First_Call', 'expectedLoss', '11 (cents_per_share)'], ['Analysts', 'expectedLossFrom', 'continuing_operations']]",0.5
57,"Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.","A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.","[['Security_experts', 'activity', 'warning'], ['new_mass-mailing_worm', 'type','malware'], ['Internet', 'affectedBy', 'new_mass-mailing_worm'], ['new_mass-mailing_worm','sender', 'Microsoft_founder'], ['Microsoft_founder', 'role', 'Founder']]","[['Microsoft_Chairman_Bill_Gates', 'type', 'Chairman'], ['Microsoft_Chairman_Bill_Gates', 'company', 'Microsoft'], ['new_worm', 'pretendsToBe', 'e-mail_from_Microsoft_Chairman_Bill_Gates'], ['new_worm','spreadsAcross', 'Internet']]",0.2253744679276044
58,Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday.,He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.,"[['Mr\_Sahel', 'identifiedBodiesOf', ['7','members_of_the_cell']], ['members_of_the_cell', 'numberOfMembers', '14'], ['members_of_the_cell', 'carriedOut', ['5', 'attacks']], ['5', 'type', 'almost_simultaneous_attacks'], ['5', 'occurredOn', 'Saturday']]","[['the_bombers', 'numberOfMembers', '14'], ['the_bombers', 'identifiedBodies', '7']]",0.0
59,"Only New Jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving.","In addition, the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving.","[['New_Jersey', 'bans', 'holders_of_learners_permits_or_intermediate_licenses'], ['holders_of_learners_permits_or_intermediate_licenses', 'useProhibited', 'cell_phones'], ['cell_phones', 'type', 'Wireless_devices']]","[['NTSB','recommendationTo', 'NHTSA'], ['NHTSA', 'legislation', 'Prohibit_mobile_phone_use_by_learners_and_intermediate_drivers'], ['Learners_permits_and_intermediate_licenses', 'prohibitedAction', 'Mobile_phone_use_while_driving']]",0.05892556509887897
